fold,auc,train_real_rows,train_synthetic_rows,test_real_rows,test_synthetic_rows
1,0.9999937273240407,19536,19536,6512,6512
2,0.999995236539309,19536,19536,6512,6512
3,0.9999918879679323,19536,19536,6512,6512
4,0.9999923831791921,19536,19536,6512,6512
