fold,auc,train_real_rows,train_synthetic_rows,test_real_rows,test_synthetic_rows
1,0.9999471656748606,19536,19536,6512,6512
2,0.9999330521539519,19536,19536,6512,6512
3,0.9999318141258023,19536,19536,6512,6512
4,0.9999448782704695,19536,19536,6512,6512
