block,num_categories,real_frequency_entropy,max_entropy_uniform,real_entropy_ratio_of_uniform,generated_average_entropy_before_decoding,generated_entropy_ratio_of_uniform,generated_minus_real_entropy
workclass,9,1.1481068134307861,2.1972245773362196,0.5225259289711207,0.5420716404914856,0.24670743540865542,-0.6060351729393005
education,17,2.0372698307037354,2.833213344056216,0.7190668627118086,0.5154234766960144,0.1819218724835243,-1.521846354007721
marital-status,8,1.2725940942764282,2.0794415416798357,0.611988396292395,1.2159143686294556,0.5847312099224502,-0.056679725646972656
occupation,15,2.4396770000457764,2.70805020110221,0.900897996297409,1.858543872833252,0.6863033307420968,-0.5811331272125244
relationship,7,1.4907137155532837,1.9459101490553132,0.7660753073706845,1.1337974071502686,0.5826566081176443,-0.35691630840301514
race,6,0.5512620210647583,1.791759469228055,0.30766519197035913,0.6032323241233826,0.3366703703724661,0.05197030305862427
sex,3,0.6346441507339478,1.0986122886681098,0.5776780009473146,0.5230886340141296,0.4761357936823101,-0.11155551671981812
native-country,42,0.653080940246582,3.7376696182833684,0.17472944560213113,0.6929668188095093,0.18540076828079152,0.039885878562927246
income,2,0.5520285964012146,0.6931471805599453,0.7964089184569274,0.24145635962486267,0.34834789262189153,-0.31057223677635193
