epoch,discriminator_loss,generator_loss,generator_adversarial_loss,batch_diversity_score,d_real_score,d_fake_score
1,0.09345913295274472,7.479192400332725,7.479192400332725,0.10135890034460786,0.9550787614713802,0.029123441867863455
2,0.0004197557737456063,12.636385587182376,12.636385587182376,0.10380207754597806,0.9997691860293397,0.00018322639235601954
3,0.0004874884312578228,16.580921919038982,16.580921919038982,0.1023224078045033,0.9997373925577296,0.0001688118897555517
4,0.0011473527586054158,17.915056134214495,17.915056134214495,0.0926710907923113,0.9995977913979257,0.0004980797727989514
5,0.0034065271592595256,17.4789984674737,17.4789984674737,0.08204628689454334,0.9990390303111313,0.0012936805716242024
6,0.005009964014528006,14.57712452954585,14.57712452954585,0.07589567327263332,0.9987404458593614,0.002453490474784636
7,0.004201339542206451,13.297194953011994,13.297194953011994,0.07007504291463607,0.9988493305621761,0.002247628051324259
8,0.004082424884851063,12.221601420109815,12.221601420109815,0.06499367694158366,0.9989291937044351,0.0019326396545828644
9,0.0038766686350457592,10.547874110760075,10.547874110760075,0.06362220873632053,0.9990514215856495,0.001384719472901785
10,0.0033522909596484006,10.339859018231383,10.339859018231383,0.064312129733291,0.9993007295202501,0.0013759510744637395
11,0.0030701240490935283,10.442718675821135,10.442718675821135,0.06620939363642495,0.9991960277651796,0.0011046109117376203
12,0.0030300114142459513,10.327656623160484,10.327656623160484,0.06766683800090657,0.9991147636186959,0.0011172974777539345
13,0.003094211914622695,11.064771029028561,11.064771029028561,0.06902241537181458,0.9991173390114662,0.0011609413223496712
14,0.0036263484666285354,11.42986261726606,11.42986261726606,0.07168148745699685,0.9989851087626844,0.0011116621694106858
15,0.003750073829968921,11.57662277410526,11.57662277410526,0.07106536184207048,0.9990911530976249,0.001169968686202866
16,0.004124073790963209,11.630532170286273,11.630532170286273,0.06858805493258013,0.9987936385787359,0.0010818163127353701
17,0.004484801538061526,11.669413018934797,11.669413018934797,0.06614904216315487,0.9989927841885256,0.0012389064416644339
18,0.004523058928057118,11.427884101867676,11.427884101867676,0.0657777953708526,0.9986502935390661,0.0011785066254911853
19,0.005208943660732931,11.315669380792297,11.315669380792297,0.06565517201872155,0.9986100462403628,0.0016830870224679314
20,0.007036392362315742,10.997980835414168,10.997980835414168,0.06499427225035016,0.998394500501085,0.002000243310014934
21,0.007882092875949485,11.273415980952802,11.273415980952802,0.064801057450252,0.9978663856440252,0.0024529841802276597
22,0.011258237260983944,10.622229198418042,10.622229198418042,0.06299102203090592,0.9972659957290876,0.003568961190251117
23,0.013634623192010982,10.149296231789164,10.149296231789164,0.06028754728855473,0.9961113038629589,0.004406455583815085
24,0.020509605602554902,9.84193738616339,9.84193738616339,0.05827577386309605,0.9942026321250613,0.006387549993065693
25,0.02335730694824516,9.458765653100345,9.458765653100345,0.05656199946556941,0.9935377977862216,0.007314415233057582
26,0.02705960977928584,9.036375612315565,9.036375612315565,0.0541490900634539,0.9919011828922989,0.008436406807545203
27,0.032218964166459765,8.623618560262246,8.623618560262246,0.05205165594816208,0.991123898784713,0.010073286406280897
28,0.03676176351485866,8.217089157293339,8.217089157293339,0.05124119824112052,0.989563229060409,0.01072900813755275
29,0.03877400694700825,7.949135152420195,7.949135152420195,0.050224149950069956,0.9891560160287536,0.011961456243004097
30,0.04346311408196493,7.499220031322819,7.499220031322819,0.049278932559018086,0.9876691852465714,0.012181409308456327
31,0.05112902394099401,7.054565599649259,7.054565599649259,0.04855609799523165,0.9860987143941445,0.01440402382689685
32,0.051512601600941454,6.936927757640876,6.936927757640876,0.04868183963664687,0.9855324915139982,0.01508201051521862
33,0.05588186292282057,6.699036938129085,6.699036938129085,0.04942279390179285,0.9850817564690467,0.017600829378784735
34,0.06170568354243394,6.5250808649724075,6.5250808649724075,0.05001173408167197,0.9840088167993148,0.01758885838432551
35,0.0646632881835103,6.228378489465997,6.228378489465997,0.0487471937690631,0.9829743929428629,0.01825294673147768
36,0.06662117143041722,6.07900356538225,6.07900356538225,0.048591067848524246,0.9825321937551593,0.019129324888828958
37,0.06520764751009422,6.1392011642456055,6.1392011642456055,0.04830178522532529,0.9827793889706677,0.018497114175801525
38,0.062357228747246286,6.142332605796285,6.142332605796285,0.04754393075657363,0.9832039764612028,0.01784061430953443
39,0.06302074102528098,6.150977446301149,6.150977446301149,0.04715918723752003,0.9829334050121874,0.017399188460745285
40,0.065989533679025,6.050771420544917,6.050771420544917,0.04759387196143075,0.9821478441210076,0.01763084239676816
41,0.06926854152813333,5.8903491615068795,5.8903491615068795,0.048946430113646064,0.9819583644961366,0.019808563938604133
42,0.06751205226277361,5.8966648082922,5.8966648082922,0.04848926628727724,0.9826411056046439,0.019275247483597237
43,0.06469971100145047,5.949703868072812,5.949703868072812,0.04850656332650987,0.9830737981465784,0.01792178655246107
44,0.06428930375466843,6.1286674065165,6.1286674065165,0.048738510744406445,0.9832093875006874,0.01764220514307075
45,0.0659341532368176,5.984171196965888,5.984171196965888,0.04890411170107303,0.9830657951902635,0.01863554175850926
46,0.06674162246572721,5.980224812384879,5.980224812384879,0.04855157099295371,0.9827280345529613,0.01777157025402504
47,0.0665673409579414,5.920826090444432,5.920826090444432,0.04804762430710367,0.982498033802108,0.018569249657471434
48,0.06681716415597734,5.857382538295028,5.857382538295028,0.048347665421148336,0.9819827953187545,0.018190548167388777
49,0.06763067338984496,5.937181420845561,5.937181420845561,0.04848949743969606,0.9822178311867289,0.018363190233928732
50,0.06902517643664954,5.818451744495052,5.818451744495052,0.04843782862224201,0.9818730572662732,0.018764258104164412
51,0.06801286936359535,5.908660581796476,5.908660581796476,0.04877123753033062,0.982268508117978,0.01884040917445085
52,0.06625953566347535,5.988828229432059,5.988828229432059,0.0489303058031762,0.9826544635366685,0.018383474361225224
53,0.06585764704216825,6.041706982225475,6.041706982225475,0.04874979630850329,0.9826003867800873,0.017853773415715684
54,0.06531680561602116,6.070273597641747,6.070273597641747,0.04885507736465718,0.9827309711144703,0.017660097334312626
55,0.06641276114352859,6.050225899951292,6.050225899951292,0.04887235740033707,0.9826426848326579,0.01748544684758797
56,0.06538382392044705,6.092072085578843,6.092072085578843,0.04894193092195114,0.9829252267828082,0.018396825172320597
57,0.06362877848862421,6.105704005401914,6.105704005401914,0.048942774423573275,0.9832809360900728,0.01748544510251077
58,0.0653477653971698,6.16039242130695,6.16039242130695,0.04833441227674484,0.9830195396253378,0.017317765069627525
59,0.06375436927883489,6.178595278522756,6.178595278522756,0.04820588666318667,0.9835525715705191,0.017898027895774583
60,0.06569251975063051,6.075725069140444,6.075725069140444,0.04807312314463134,0.9827680983165703,0.017246417848780605
61,0.06527257895115579,6.136854695801688,6.136854695801688,0.04840577098697719,0.9828758564325842,0.017596573747537734
62,0.06581141121021591,6.072358603524689,6.072358603524689,0.048605314317611184,0.9827295417832856,0.01778004158491103
63,0.06646051540011817,6.146946892879977,6.146946892879977,0.04836336711403167,0.9827363904159848,0.018481617473010525
64,0.06666713784273604,6.076922407244692,6.076922407244692,0.04828184776672042,0.9826892555350124,0.017059113048846917
65,0.06516047132819301,6.143916668278156,6.143916668278156,0.048267791250554644,0.9828250272439258,0.01720560749872855
66,0.06390393053246017,6.101872368614273,6.101872368614273,0.04832579896296605,0.9836916569435951,0.017233776304372908
67,0.06580708089220051,6.021803430991597,6.021803430991597,0.04823610548040654,0.9829251937346883,0.017037081775384596
68,0.06517588356417595,6.077734083232313,6.077734083232313,0.04803454363257578,0.9832224249839783,0.017025588797220943
69,0.06481938992654628,6.071682443713198,6.071682443713198,0.04799086965694286,0.9831438383253495,0.01712764264775975
70,0.06432248883428845,6.128833596069033,6.128833596069033,0.04786272752698105,0.9836206689919575,0.017305806811696085
71,0.06409414278546183,6.044900837511119,6.044900837511119,0.047844275352683395,0.9835283461183605,0.017311283244318007
72,0.06500259891963832,6.106447715570431,6.106447715570431,0.047835805296602814,0.9838743723265015,0.017146211643103915
73,0.06498962935834827,6.0628960108993075,6.0628960108993075,0.04789777815637022,0.9834301135327557,0.01668346895476674
74,0.06382552702394821,6.097854548161573,6.097854548161573,0.047806240802649225,0.9840831172348249,0.016913845763993587
75,0.06441251381235842,6.089331886555889,6.089331886555889,0.047756003345003226,0.9840638118215127,0.01769328666021033
76,0.0627955562149239,6.186929131498431,6.186929131498431,0.04755275135878289,0.9841573332796002,0.016650751016407023
77,0.0611194290824714,6.1999204465658355,6.1999204465658355,0.047732339378925834,0.9842436242811751,0.016096542912101983
78,0.060980828165417854,6.157872884580405,6.157872884580405,0.04778514367223966,0.9845544182428039,0.01643477686413444
79,0.05993159642756576,6.2542931868298215,6.2542931868298215,0.04769322161774824,0.9846424135831323,0.015381027506387765
80,0.061902037222344095,6.183352054935871,6.183352054935871,0.047720565432959265,0.9849701128383674,0.016370815455470936
81,0.064255538811483,6.149035137478668,6.149035137478668,0.04786417157490655,0.9842010789578504,0.016541094076589193
82,0.06349669454047585,6.192715706211506,6.192715706211506,0.04793062854078737,0.9851469438855011,0.016721610583844457
83,0.06353119700815123,6.113398174248119,6.113398174248119,0.04776132527259317,0.9846066348623521,0.016321013658538018
84,0.05942483288743118,6.106825219522609,6.106825219522609,0.04730671784370252,0.9852007538965433,0.015037465301148667
85,0.060789761373238396,6.049245806023626,6.049245806023626,0.04748541725301506,0.9847017697768636,0.01600742480016802
86,0.06057149724168057,6.186189420152418,6.186189420152418,0.047496763196322,0.9851760173788165,0.015402234643513318
87,0.06287024618301651,6.079620942030803,6.079620942030803,0.0470517682704595,0.9847625010084398,0.016089437206709148
88,0.06403625114719466,6.063133008409254,6.063133008409254,0.04699995460929257,0.9842262734280954,0.01663000618872961
89,0.06361411312724104,6.0041429123075885,6.0041429123075885,0.047046986583730965,0.9845072627067566,0.016253412871778308
90,0.06425673883445192,6.0182492095645115,6.0182492095645115,0.047214996918003155,0.984294059252975,0.016785592594562044
91,0.061951401537413346,6.076759886033464,6.076759886033464,0.047189043927015645,0.9850241960865436,0.016187626843128612
92,0.0619385152465046,5.994255405841487,5.994255405841487,0.04727061871107262,0.9851560675271667,0.016005767887402877
93,0.062123612791189164,5.979285735895138,5.979285735895138,0.04734274508929489,0.9850809574127197,0.015638660346757215
94,0.05959751963670744,6.02987263934447,6.02987263934447,0.04723222288164762,0.9852474862986272,0.01501828097360264
95,0.06199046253862948,5.970425681312485,5.970425681312485,0.047236229929298455,0.9850399547284192,0.015268544214639333
96,0.05956164466235602,6.002218388094761,6.002218388094761,0.04706852455245386,0.9854970479955768,0.015157486109229007
97,0.06102512980636099,6.036167036188711,6.036167036188711,0.04710902930191248,0.9855166886112477,0.016208063930936968
98,0.061711454155421494,5.920303160601323,5.920303160601323,0.04701320111456484,0.9854896121686048,0.015537817307775564
99,0.0607447926471434,5.954032982930099,5.954032982930099,0.0466481934827153,0.9854395525290234,0.01587392179535167
100,0.061518375992332355,6.015466916679156,6.015466916679156,0.04661610932780964,0.9851462740709286,0.015124471821259745
101,0.0606212160633047,6.021674675516563,6.021674675516563,0.046820140342311106,0.9857371632415469,0.015128854270286785
102,0.05874713975475124,6.055455306969066,6.055455306969066,0.04674209019925335,0.9858704008678398,0.014856685962675526
103,0.06131044551176895,6.023027807179064,6.023027807179064,0.04668175521315915,0.9857433255356137,0.014963893584058722
104,0.059766581129872855,5.997365592729928,5.997365592729928,0.04672753051070884,0.9856694995766819,0.01541411388195166
105,0.05941861342306774,5.945050211236028,5.945050211236028,0.04726391149186852,0.9857813444468054,0.014650746204862647
106,0.06146534228937166,5.99726397448247,5.99726397448247,0.04696620683563818,0.9855489441663912,0.015392879003400702
107,0.06035456260537157,6.077040379590327,6.077040379590327,0.046857469226464186,0.9859009998859746,0.015304875788324982
108,0.05859013500226901,6.009671636147075,6.009671636147075,0.0468744060559438,0.9862046041110955,0.014586035655534799
109,0.059996866630298074,5.896673457457288,5.896673457457288,0.046709033300971044,0.9857583990191469,0.014396839715208453
110,0.05910017499746294,5.851603928178844,5.851603928178844,0.046809602270622065,0.9860348176248003,0.014791121206126443
111,0.06125946200941459,6.003841475685044,6.003841475685044,0.047035349035027006,0.9854381963758185,0.014521007686576779
112,0.05841251046369129,5.998863121070484,5.998863121070484,0.046940331522486,0.9860355854034424,0.014250173072081686
113,0.060268862071530066,6.036760825921993,6.036760825921993,0.04734017043420584,0.9858446634641969,0.014653320071554862
114,0.06055057233909496,5.958117083747788,5.958117083747788,0.04726511560896836,0.9859599713051673,0.014918618086301306
115,0.060957973394174095,5.886476672521912,5.886476672521912,0.047244559899710194,0.9857495916952,0.014897675098998859
116,0.05851458134775114,5.940012554130932,5.940012554130932,0.0471098597834606,0.9860899005786027,0.014408258910263233
117,0.0574670460819737,5.9520054382852985,5.9520054382852985,0.04687616767564622,0.98642496366312,0.013913237992305271
118,0.059484258623756836,5.908896941949825,5.908896941949825,0.04671783453904756,0.9864593401993855,0.01438674573915651
119,0.058497211748346836,5.951226489378675,5.951226489378675,0.04651566768194189,0.9863847801000765,0.014551484136666992
120,0.05706519878349534,5.9695216641567725,5.9695216641567725,0.046423544019165604,0.98651386841689,0.014109440525938379
121,0.059411045090101734,5.9715525230558795,5.9715525230558795,0.046251232523729306,0.9862034922779197,0.014578980052530175
122,0.05774798538388297,5.949127782689462,5.949127782689462,0.04625537320233808,0.9865830711799093,0.013779554240599201
123,0.05763950490272871,6.029518330451285,6.029518330451285,0.046064380261272485,0.9866921588926032,0.014416878293775538
124,0.058430901032383784,5.899381505380763,5.899381505380763,0.04596236278072442,0.9863846945290519,0.014611851808956206
125,0.05886004491948919,5.922398486939987,5.922398486939987,0.046000758978990045,0.9866429821099385,0.014580378367676224
126,0.057193767565238,5.961763792698926,5.961763792698926,0.04603956130766632,0.9866182656571416,0.013524872266991747
127,0.056602288590799466,5.947917248943065,5.947917248943065,0.045756318228374615,0.9869498498368972,0.01401955889777677
128,0.057035948444932406,5.961606814129518,5.961606814129518,0.04601982696959288,0.986994459487424,0.014281511509625039
129,0.0561206554048833,6.035213852872943,6.035213852872943,0.0458843325919444,0.9867767361131045,0.013155371502807161
130,0.0577598245708401,5.988082767713188,5.988082767713188,0.04577011541269793,0.9866934755060932,0.014321187909895389
131,0.05881629914672363,5.9195090803769554,5.9195090803769554,0.04591252983059033,0.9864844963102057,0.01387470159541336
132,0.05800541916096786,5.88017473598518,5.88017473598518,0.04600985418304358,0.9866921872195631,0.014435403768231374
133,0.06018967154703223,5.886427374169378,5.886427374169378,0.0459648694953706,0.9860921148026344,0.014408193035327857
134,0.058909851522876484,5.880442402150371,5.880442402150371,0.046385976900853734,0.9866443565576384,0.014333643104493766
135,0.06024140787615192,5.892162554334886,5.892162554334886,0.04654157294495271,0.9863106513967609,0.014591300034766445
136,0.05966935665946048,5.878520653979613,5.878520653979613,0.04631322552219476,0.9862442146433462,0.014467604619699835
137,0.058800602751313755,5.943407672466618,5.943407672466618,0.04625501284504881,0.9861205037277524,0.013700516545213759
138,0.059959582553365,5.948922789923035,5.948922789923035,0.04598527549221964,0.9865576860928299,0.014440506816574253
139,0.05846618975992176,5.9220030661856775,5.9220030661856775,0.04609745338854223,0.9863890078988405,0.013713430912962348
140,0.05895560129665502,5.843450980611367,5.843450980611367,0.04605364006492171,0.986510695207237,0.01423766800100998
141,0.05945786907070196,5.831628695572957,5.831628695572957,0.04585246336047012,0.9863884997839975,0.014054726385096512
