fold,auc,train_real_rows,train_synthetic_rows,test_real_rows,test_synthetic_rows
1,0.9999997406036258,19536,19536,6512,6512
2,0.9999993161368316,19536,19536,6512,6512
3,0.9999993397183201,19536,19536,6512,6512
4,0.9999999056740456,19536,19536,6512,6512
