block,num_categories,real_frequency_entropy,max_entropy_uniform,real_entropy_ratio_of_uniform,generated_average_entropy_before_decoding,generated_entropy_ratio_of_uniform,generated_minus_real_entropy
workclass,9,1.1481068134307861,2.1972245773362196,0.5225259289711207,0.028236040845513344,0.012850775991111929,-1.1198707725852728
education,17,2.0372698307037354,2.833213344056216,0.7190668627118086,0.08814556896686554,0.03111151835839884,-1.9491242617368698
marital-status,8,1.2725940942764282,2.0794415416798357,0.611988396292395,0.046819645911455154,0.022515490324211195,-1.225774448364973
occupation,15,2.4396770000457764,2.70805020110221,0.900897996297409,0.07098032534122467,0.0262108602389774,-2.3686966747045517
relationship,7,1.4907137155532837,1.9459101490553132,0.7660753073706845,0.05126816779375076,0.026346626445542757,-1.439445547759533
race,6,0.5512620210647583,1.791759469228055,0.30766519197035913,0.006351799704134464,0.003545006912602513,-0.5449102213606238
sex,3,0.6346441507339478,1.0986122886681098,0.5776780009473146,0.01806490123271942,0.016443381727160727,-0.6165792495012283
native-country,42,0.653080940246582,3.7376696182833684,0.17472944560213113,0.0007550636655651033,0.00020201455523826846,-0.6523258765810169
income,2,0.5520285964012146,0.6931471805599453,0.7964089184569274,0.020837081596255302,0.030061554285516212,-0.5311915148049593
