experiment,seed,epochs,latent_dim,generator_hidden_dims,discriminator_hidden_dims,d_updates_per_g_update,diversity_weight,final_discriminator_loss,final_generator_adversarial_loss,final_generator_total_loss,final_batch_diversity_score,final_d_real_score,final_d_fake_score,real_unique_categorical_combinations,synthetic_unique_categorical_combinations,categorical_combination_coverage,mean_numeric_variance_ratio,min_numeric_variance_ratio,max_numeric_variance_ratio
collapsed,42,150,4,"(32,)","(256, 128, 64)",5,0.0,0.05718775248468513,5.90064274910653,5.90064274910653,0.045375790668301066,0.9868865449829857,0.013519527833207999,8296,27,0.0032545805207328834,0.41496312618255615,0.001438042032532394,1.3059762716293335
mitigated_diversity_penalty,42,150,4,"(32,)","(256, 128, 64)",5,0.5,0.06939939430241684,4.8877572305131665,4.86580756631228,0.043899310992495846,0.9838295820916053,0.016688972305838424,8296,23,0.002772420443587271,0.2939291298389435,8.472302397422027e-06,0.7401533722877502
