epoch,discriminator_loss,generator_loss,d_real_score,d_fake_score
1,0.6712582247091992,1.7520327208065751,0.7096414102776216,0.24146679073277086
2,0.6307941887638356,1.714168109516106,0.781054166283938,0.24147946217862687
3,0.6807127093324566,1.7553728146128136,0.7692503409810586,0.24131952786799704
4,0.6205371346804175,1.8521100683967666,0.7822677563912798,0.2201337991374554
5,0.48485570142764856,2.2107592289990716,0.8336200601983779,0.17379873009896515
6,0.3807810913808275,2.5447942974543807,0.8711214171777858,0.13357948969201286
7,0.39242998414700575,2.6762585097020217,0.8744610577526659,0.12990518320019884
8,0.4196081792954171,2.6403308127186085,0.8727428836397605,0.1352450607141646
9,0.4203214229333519,2.6205013223213727,0.8679648808913656,0.13255166373040417
10,0.42492908298379123,2.5975020521938212,0.869119387451965,0.13172335708790486
11,0.42708803226452063,2.5692814199051055,0.8720289870063858,0.1317270396664591
12,0.46943978891514315,2.486768167797882,0.8600826788656782,0.14361386709284074
13,0.46109394507833046,2.502479952160675,0.8618138916421645,0.13958255695824576
14,0.5008121259731821,2.338549826404836,0.84847226768437,0.15504918564664255
15,0.5091974817880309,2.313267405670468,0.8429010858630189,0.1581759890264804
16,0.4955192715814798,2.355603050477434,0.8478993720347339,0.15403817874370235
17,0.48057259752018616,2.381330143107046,0.8511613766745766,0.14863309293690294
18,0.5083444628975179,2.32271666574006,0.8443353069890843,0.15728753406812648
19,0.5100175145238933,2.270359425261469,0.8433190861550888,0.15915476368500456
20,0.519662629259695,2.2580460227362,0.8393457307673917,0.16208201233703312
21,0.5224733438232158,2.240397786149884,0.837370228649366,0.16436512074848214
22,0.507389886839555,2.275791554167719,0.8430574406491648,0.1610201282961534
23,0.5206749949714925,2.250860606089677,0.8381756603127659,0.16130562178274194
24,0.5171939943096425,2.248231331900795,0.8381317275585515,0.1613772100593784
25,0.5106872668360719,2.231545422336843,0.8411428639204195,0.1628997004268193
26,0.51869798296749,2.2114088393674036,0.8369140459759401,0.16308258680423887
27,0.5189346054402908,2.2024650951423266,0.8372154707955842,0.1643006564071863
28,0.5307425248740923,2.1943899227841066,0.8342717000753572,0.16725564047251598
29,0.5266162458032665,2.1972243148501556,0.8342824171085169,0.16701780392391846
30,0.5241287093941528,2.184715222604204,0.8362695911143085,0.1667397349040107
31,0.5293107431123752,2.1688900064713885,0.8347547148713971,0.16980820997516707
32,0.5223835883754315,2.1842190345915236,0.8353525766051642,0.16617200250672823
33,0.516477881091656,2.1908529914251647,0.8375108572516111,0.16494348173094267
34,0.5162624401031154,2.1880700847890115,0.8374666553912776,0.16471770789363596
35,0.5110709242301412,2.2249220727693917,0.8393405693592412,0.1624633630018423
36,0.5186253443802937,2.2145434098668617,0.8370654701006295,0.1642464907600148
37,0.5205419175695665,2.1999435778891687,0.8362743701085006,0.16500460865473984
38,0.5174252523644136,2.1753442558911766,0.8370890877034405,0.165617503004499
39,0.5127545199771919,2.1932892539713644,0.838761853699637,0.16413515968487993
40,0.5133253973309356,2.195741909565312,0.8384704046910352,0.16411231192621853
41,0.5211685683467601,2.208928871862959,0.83575039039744,0.16642438745734714
42,0.5211326671708928,2.1900615491489375,0.8354603772116179,0.1654180257332207
43,0.516156521173987,2.193749724048199,0.837210728390382,0.16605337037898527
44,0.5119249862019378,2.2265219629401027,0.8376216776300185,0.16293573054936852
45,0.5102506480594673,2.214934850683307,0.8386671484106838,0.1636262464493808
46,0.5125668441305066,2.222104022998621,0.8382294791759831,0.1639570168929525
