fold,auc,train_real_rows,train_synthetic_rows,test_real_rows,test_synthetic_rows
1,0.9999984907847315,19536,19536,6512,6512
2,0.99999966985916,19536,19536,6512,6512
3,0.9999991746479002,19536,19536,6512,6512
4,0.9999999056740458,19536,19536,6512,6512
