block,generated_average_entropy_before_decoding
workclass,0.5420716404914856
education,0.5154234766960144
marital-status,1.2159143686294556
occupation,1.858543872833252
relationship,1.1337974071502686
race,0.6032323241233826
sex,0.5230886340141296
native-country,0.6929668188095093
income,0.24145635962486267
