model,seed,detection_auc_mean,detection_auc_std,real_train_auc,synthetic_train_auc,efficacy_ratio
BaselineGAN,42,0.9999993102414594,6.255024108296691e-07,0.9073812576092114,0.8381215694063269,0.9236707970083364
FeatureMatchingGAN,42,0.9999952188531926,3.6580138861217044e-06,0.9073812576092114,0.8612173964631354,0.949124074628002
