fold,auc,train_real_rows,train_synthetic_rows,test_real_rows,test_synthetic_rows
1,0.9999968636620202,19536,19536,6512,6512
2,0.9999958496580118,19536,19536,6512,6512
3,0.9999982313883574,19536,19536,6512,6512
4,0.9999899307043809,19536,19536,6512,6512
