block,generated_average_entropy_before_decoding
workclass,0.028236040845513344
education,0.08814556896686554
marital-status,0.046819645911455154
occupation,0.07098032534122467
relationship,0.05126816779375076
race,0.006351799704134464
sex,0.01806490123271942
native-country,0.0007550636655651033
income,0.020837081596255302
