epoch,discriminator_loss,generator_loss,d_real_score,d_fake_score
1,0.6799477164698119,1.7127898536106148,0.7143690869359687,0.2505535427296516
2,0.5805250589210208,1.7542962437809104,0.8022505711800981,0.23279257251484559
3,0.5819321265905211,1.8362779947790768,0.813984466071176,0.22367562501147242
4,0.5155042905618649,2.0548201350882502,0.8244958856318256,0.18569430841667817
5,0.44980702925436566,2.2886672716329595,0.8476973423863402,0.16118379630664786
6,0.4047645714023326,2.530641735190212,0.867337192049121,0.14325217437921184
7,0.3767393116313632,2.704527236447476,0.8797171021452045,0.1273101642727852
8,0.36664228421626704,2.82529616828012,0.8854395310477455,0.12130409250460049
9,0.38991081832659125,2.7971703061963074,0.8810603170111628,0.12255929270298174
10,0.40320353932900005,2.690381286167862,0.8791872115418462,0.12621076751758556
11,0.4349879421810112,2.6057783896380133,0.8679110006530686,0.13392763149620282
12,0.4539327600804886,2.49514633594173,0.8625622704477593,0.14017579320928839
13,0.4404851009350012,2.45961328308181,0.8659051355749073,0.13777391169921005
14,0.4344795065941197,2.5323105991476833,0.8692529909681566,0.13264530461908566
15,0.4700301540370035,2.394806401564343,0.8572676636204861,0.1425951362984015
16,0.49284154088190285,2.297922703299192,0.8502606230207009,0.15640882498557024
17,0.4803365666677456,2.33547054186906,0.8535994208685243,0.1478142418926305
18,0.4679288943805317,2.3442593352629406,0.8567104563854708,0.14472676319356012
19,0.47459771904614895,2.3279539051622447,0.8549528068835193,0.1470919142265131
20,0.4834085419626519,2.2934773086321236,0.8524326593569009,0.15025484281601292
21,0.47109668473205946,2.2789775144935835,0.8557944616468827,0.14576968299870444
22,0.48894389755655043,2.222724517973343,0.8509146866231861,0.15045572891093717
23,0.4817014498875873,2.228804633168891,0.8523997558225499,0.1509356794528442
24,0.48397626027022256,2.2018388922851866,0.8512905700371998,0.15099920841431855
25,0.479953796851753,2.2190880090883462,0.8526217388634635,0.14902826649422693
26,0.4941303260845713,2.1781198187629776,0.8484866760744907,0.15333439004008131
27,0.48561071877432344,2.164624085520754,0.8515005512992935,0.15086995257009375
28,0.48382575382100473,2.1633528116906042,0.8513241168295983,0.14968380627065603
29,0.49376649608706485,2.1238898357542433,0.848253601848489,0.15405570118144007
30,0.4928244904126271,2.155522583734871,0.8476566034968537,0.15411767319287403
31,0.4847806225908865,2.151939323633024,0.8504255036316296,0.1524373427918642
32,0.4826909377433286,2.1543495265564117,0.8513084691349823,0.15057848047206898
33,0.4873097851724908,2.1490694933598586,0.850847040662671,0.15209016705503559
34,0.4914592770066592,2.1474023880344806,0.848354695457043,0.15346280625551054
35,0.48490204197345393,2.1684382799828406,0.850185496382194,0.1517734516522672
36,0.48291656965076335,2.170687157328766,0.8519892680763018,0.1514861110118356
37,0.4835490708303924,2.164838967937054,0.8514027259137371,0.15130629272449134
38,0.48648568486223126,2.135949696644698,0.8501278687231612,0.1537339257279245
39,0.4868806718599678,2.1576442753914558,0.84949658825846,0.153097499346379
40,0.48691792358266245,2.1607025366018315,0.8498417953453442,0.1517391429826765
41,0.4924617353642341,2.126079277236863,0.8475364883347313,0.15404314983009113
42,0.4827147978957337,2.155036181506544,0.850838832926042,0.15260755528907965
43,0.4827413915997685,2.1714210769917703,0.8505167323764008,0.1508744674006311
44,0.48096611800760325,2.15445602884387,0.8506855533854796,0.15163517588436012
45,0.4801632564256687,2.178462259840257,0.8511846933034387,0.1510788889804689
46,0.48386141952901784,2.1702738433781237,0.8505730587657135,0.15208171123620307
47,0.47819188561769993,2.1752086417509777,0.851299265233597,0.1510553194007071
48,0.4796993735403118,2.181573999990331,0.8514569738123676,0.15130420943888107
49,0.4788920507572665,2.200895186698083,0.8516047573325658,0.1510662351651947
50,0.4793397453751895,2.212122692920194,0.8516034354077707,0.15021138402199982
51,0.4810996657550925,2.203878105276882,0.8512336723875291,0.1507744252091587
52,0.4764433765765464,2.1926647766981975,0.8521563599605372,0.15005869248715958
53,0.47790619258833406,2.2089176118964016,0.8518058551420079,0.15044553548392683
54,0.477542911720748,2.2053924220623355,0.8512510798945285,0.14892913194576113
55,0.4765323819500385,2.187002066338416,0.8520618205023284,0.14963348187727504
56,0.47778302637657316,2.189728775827011,0.8515069620444042,0.1508529794835808
57,0.4750824293287674,2.2198921111550662,0.8521753608590306,0.14902223181901592
58,0.4762679660084224,2.217927045161181,0.8515550287643282,0.1496386705058636
59,0.4746692472755319,2.215199183709551,0.8518819502084563,0.1485890145644103
60,0.47589328029368183,2.2278196422180327,0.851985241516982,0.1497165166800565
61,0.47614028046626855,2.221630559109225,0.8515298254419081,0.14892305854228463
62,0.4735233429634925,2.226041835133392,0.8529460329820614,0.1490637975754124
63,0.47220115201307994,2.2200108129199188,0.852229366208067,0.14886328349314112
64,0.4707160777974837,2.25452192703096,0.8530454606112867,0.1480975981691096
65,0.4708505591543594,2.2410300946471713,0.8530454128095419,0.14837879149040373
66,0.474093234184945,2.264411170883934,0.8519269753210615,0.1486748316057838
67,0.4718655073406673,2.247146986498691,0.852281402243246,0.14905955067070403
68,0.4713012968549634,2.261557987420866,0.8526099737327878,0.1483051560745381
69,0.4695706054715827,2.2477897842331687,0.8529405186672022,0.14780250774456724
70,0.4703386632522734,2.275651174016518,0.8522602048250708,0.14833223495152917
71,0.46532551604922456,2.3300371441510643,0.8539716837429764,0.1461430226664732
72,0.4651144084954026,2.317739278963297,0.8537553129809918,0.1467974405034934
73,0.4594069441946426,2.3286264084353308,0.8555482608256954,0.1446666443849554
74,0.4673336484644673,2.329255014362902,0.8543168495197108,0.14654917056017583
75,0.4634794825964635,2.3107094032929676,0.8544464412302074,0.14551087520500222
76,0.4674100471605169,2.3313987774424034,0.853749419202899,0.14736116714406722
77,0.4630632149701071,2.3292077874193096,0.8545826561380141,0.14544192989273827
78,0.46177812466526974,2.343623638153076,0.8545931129172297,0.1454483072208886
79,0.4648807963522354,2.344444972453731,0.854555351309257,0.14632404794787415
80,0.4599804173011591,2.3215307646458694,0.8549437989102732,0.14527694386715936
81,0.45667365931048254,2.3770932726340717,0.855823552844548,0.14434164401033137
82,0.45902339686261545,2.370214086948055,0.8556106928551551,0.144318487532068
83,0.45652254619220695,2.3557867720575616,0.8565993373936945,0.14472193920081206
84,0.4556990888449225,2.3858285398766546,0.856424344648229,0.14321840067606162
85,0.45834407564437035,2.360787312583168,0.8558483212301047,0.14361459584814487
86,0.45747677347447613,2.379936972467026,0.8561387339440902,0.1443879963590367
87,0.45235228095904434,2.427753997321176,0.8572682785515738,0.14241943508386612
88,0.45574535857332815,2.4109731641146217,0.8570710526834621,0.14382071844717065
89,0.4520365808269765,2.4182198496148137,0.8567195788468465,0.14184260279825417
90,0.4480164393340007,2.4667816197518073,0.8584837099113086,0.1413856245356031
91,0.4503584719530427,2.4356166147949674,0.8580480271046704,0.1419067764193705
92,0.44474528656147494,2.451756976618625,0.8594180404549778,0.14075557223641047
93,0.4501532924057233,2.440478824152805,0.8579969170069931,0.1418301820902541
94,0.4491761852018904,2.488134812600542,0.8583332365102107,0.14116471504220868
95,0.44724891651975046,2.486232811861699,0.8587643574960161,0.14055922420898287
96,0.4482626395650429,2.4815937788179605,0.8589392127376971,0.14199405790555594
97,0.45136990700617874,2.49620521776747,0.8584449828261196,0.14314908017911535
98,0.4456913704329198,2.5299894314001103,0.8590690647021378,0.1397035979841015
99,0.4472664774644493,2.464210831292785,0.8593645095825195,0.14223594801260694
100,0.44778982099920217,2.499994459718761,0.8589025015878206,0.14174708915819037
101,0.447184413376421,2.5170495734356417,0.8581781363723302,0.1410317027775368
102,0.44521283218176055,2.5330277882000005,0.8596351595208196,0.1410552824635317
103,0.43806460912864986,2.5853714281969733,0.8610702900603266,0.13796766345748807
104,0.4443522021912112,2.5499030292624294,0.8594881048296937,0.139249986646199
105,0.4405074001538872,2.5344640358839885,0.8605856747910527,0.13928796203419713
106,0.44013267932551925,2.6407456988155253,0.8609512253563003,0.1395196086994492
107,0.4416626201997889,2.580342944305722,0.860598349925315,0.13989083535305344
108,0.43886065158513515,2.55156413399347,0.8610873428901823,0.13963458576414844
109,0.44060168732510935,2.5712915906811706,0.860374666676663,0.13928240655672433
110,0.43496149011177593,2.6232059497644404,0.8619372897809094,0.13800408661660582
111,0.4382371368384597,2.5921876548540475,0.8612487487273641,0.1390914862772616
112,0.43501409858760265,2.645413580507335,0.8619115346729165,0.1363573640880018
113,0.43374620982916046,2.6167001252127164,0.8620854391910062,0.1366860645979938
114,0.43433086028193485,2.6687122241105183,0.8619507291529438,0.13802708331311103
115,0.43894752801054776,2.659428829013711,0.8610138987550641,0.13904896024430152
116,0.4335134533962401,2.6368607884586446,0.8618652419288559,0.13733011310791024
117,0.43606059031911415,2.6631498065325294,0.8621168827066327,0.1387048092218909
