strategy,seed,epochs,final_discriminator_loss,final_generator_loss,final_d_real_score,final_d_fake_score,detection_auc_mean,detection_auc_std,real_train_auc,synthetic_train_auc,efficacy_ratio,average_generated_entropy_ratio_of_uniform
softmax,42,300,0.6486013242513826,2.5315778869213443,0.7853418523722356,0.21982241717010442,0.9999877140444554,8.515056422587242e-06,0.9073812576092114,0.8440190952518521,0.9301702985090222,0.018809692093195537
gumbel_st,42,300,0.23683576307969517,16.418020390047886,0.9304101496639818,0.07059261547678178,0.9999392275562711,7.917045804526247e-06,0.9073812576092114,0.8550172432471472,0.9422910558015778,0.40320836462575893
