model,detection_auc_mean,detection_auc_std_across_seeds,efficacy_ratio_mean,efficacy_ratio_std,real_train_auc_mean,synthetic_train_auc_mean
GAN,0.9999994753118794,1.4404506714236058e-07,0.9132557871514649,0.03296659039320402,0.9043311889973381,0.8259215528982068
cGAN,0.9999969972904554,3.201606851217646e-06,0.9125486859767057,0.015871671434964707,0.9043311889973381,0.8252665803429563
