model,seed,detection_auc_mean,detection_auc_std,real_train_auc,synthetic_train_auc,efficacy_ratio,real_train_rows,synthetic_rows,gan_data_dim,feature_dim,condition_dim
GAN,42,0.9999993102414594,6.255024108296691e-07,0.9073812576092114,0.8381215694063269,0.9236707970083363,26048,26048,115,113,2
cGAN,42,0.9999933087526185,1.501874257026124e-06,0.9073812576092114,0.8346795619157673,0.9198774549465567,26048,26048,115,113,2
GAN,123,0.9999995755332058,2.9390268058390776e-07,0.9018610970677453,0.7903366237799467,0.8763396340629369,26048,26048,115,113,2
cGAN,123,0.9999986263782907,1.7078137758508752e-06,0.9018610970677453,0.8065675878541507,0.8943368224625433,26048,26048,115,113,2
GAN,2026,0.9999995401609728,2.3932597039307284e-07,0.9037512123150575,0.8493064655083469,0.9397569308181126,26048,26048,115,113,2
cGAN,2026,0.9999990567404572,7.311529168525522e-07,0.9037512123150575,0.8345524622892635,0.9234316379520711,26048,26048,115,113,2
