
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.13
Step Index: 0 | Cost: 2.302586
Step Index: 100 | Cost: 2.302654
Step Index: 200 | Cost: 2.302625
Step Index: 300 | Cost: 2.302598
Step Index: 400 | Cost: 2.302685
Step Index: 500 | Cost: 2.302550
Step Index: 600 | Cost: 2.302529
Step Index: 700 | Cost: 2.302533
Step Index: 800 | Cost: 2.302791
Step Index: 900 | Cost: 2.302558
Step Index: 1000 | Cost: 2.302574
Step Index: 1100 | Cost: 2.302660
Step Index: 1200 | Cost: 2.302540
Step Index: 1300 | Cost: 2.302756
Step Index: 1400 | Cost: 2.302370
Step Index: 1500 | Cost: 2.302774
Step Index: 1600 | Cost: 2.302567
Step Index: 1700 | Cost: 2.302691
Step Index: 1800 | Cost: 2.302835
Step Index: 1900 | Cost: 2.302731
Step Index: 2000 | Cost: 2.302554
Step Index: 2100 | Cost: 2.302598
Step Index: 2200 | Cost: 2.302711
Step Index: 2300 | Cost: 2.302795
Step Index: 2400 | Cost: 2.302604
Step Index: 2500 | Cost: 2.302547
Step Index: 2600 | Cost: 2.302621
Step Index: 2700 | Cost: 2.302709
Step Index: 2800 | Cost: 2.302596
Step Index: 2900 | Cost: 2.302557
Step Index: 3000 | Cost: 2.302659
Step Index: 3100 | Cost: 2.302490
Step Index: 3200 | Cost: 2.302665
Step Index: 3300 | Cost: 2.302553
Step Index: 3400 | Cost: 2.302680
Step Index: 3500 | Cost: 2.302607
Step Index: 3600 | Cost: 2.302296
Step Index: 3700 | Cost: 2.302576
Step Index: 3800 | Cost: 2.302599
Step Index: 3900 | Cost: 2.302264
Step Index: 4000 | Cost: 2.302229
Step Index: 4100 | Cost: 2.302029
Step Index: 4200 | Cost: 2.302405
Step Index: 4300 | Cost: 2.302200
Step Index: 4400 | Cost: 2.302052
Step Index: 4500 | Cost: 2.302248
Step Index: 4600 | Cost: 2.302000
Step Index: 4700 | Cost: 2.301941
Step Index: 4800 | Cost: 2.302185
Step Index: 4900 | Cost: 2.301743
Step Index: 5000 | Cost: 2.303002
Step Index: 5100 | Cost: 2.302741
Step Index: 5200 | Cost: 2.302804
Step Index: 5300 | Cost: 2.301838
Step Index: 5400 | Cost: 2.302362
Step Index: 5500 | Cost: 2.302039
Step Index: 5600 | Cost: 2.302108
Step Index: 5700 | Cost: 2.302489
