
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.03
Step Index: 15800 | Cost: 2.245899
Step Index: 15900 | Cost: 2.250712
Step Index: 16000 | Cost: 2.213219
Step Index: 16100 | Cost: 2.183928
Step Index: 16200 | Cost: 2.240122
Step Index: 16300 | Cost: 2.258900
Step Index: 16400 | Cost: 2.224921
Step Index: 16500 | Cost: 2.189534
Step Index: 16600 | Cost: 2.198917
Step Index: 16700 | Cost: 2.172461
Step Index: 16800 | Cost: 2.173603
Step Index: 16900 | Cost: 2.213913
Step Index: 17000 | Cost: 2.226150
Step Index: 17100 | Cost: 2.247338
Step Index: 17200 | Cost: 2.238922
Step Index: 17300 | Cost: 2.224199
Step Index: 17400 | Cost: 2.245249
Step Index: 17500 | Cost: 2.228117
Step Index: 17600 | Cost: 2.181237
Step Index: 17700 | Cost: 2.269931
Step Index: 17800 | Cost: 2.267467
Step Index: 17900 | Cost: 2.167430
Step Index: 18000 | Cost: 2.273967
Step Index: 18100 | Cost: 2.197893
Step Index: 18200 | Cost: 2.252862
Step Index: 18300 | Cost: 2.220387
Step Index: 18400 | Cost: 2.264827
Step Index: 18500 | Cost: 2.250093
Step Index: 18600 | Cost: 2.195512
Step Index: 18700 | Cost: 2.279203
Step Index: 18800 | Cost: 2.156872
Step Index: 18900 | Cost: 2.280808
Step Index: 19000 | Cost: 2.208886
Step Index: 19100 | Cost: 2.149720
Step Index: 19200 | Cost: 2.243079
Step Index: 19300 | Cost: 2.175918
Step Index: 19400 | Cost: 2.253546
Step Index: 19500 | Cost: 2.237670
Step Index: 19600 | Cost: 2.172711
Step Index: 19700 | Cost: 2.164159
Step Index: 19800 | Cost: 2.166098
Step Index: 19900 | Cost: 2.268139
Step Index: 20000 | Cost: 2.134647
Step Index: 20100 | Cost: 2.212135
Step Index: 20200 | Cost: 2.219845
Step Index: 20300 | Cost: 2.223389
Step Index: 20400 | Cost: 2.167082
Step Index: 20500 | Cost: 2.260404
Step Index: 20600 | Cost: 2.194288
Step Index: 20700 | Cost: 2.179804
Step Index: 20800 | Cost: 2.302488
Step Index: 20900 | Cost: 2.287347
Step Index: 21000 | Cost: 2.231614
Step Index: 21100 | Cost: 2.208776
Step Index: 21200 | Cost: 2.188562
Step Index: 21300 | Cost: 2.185306
Step Index: 21400 | Cost: 2.123606
Step Index: 21500 | Cost: 2.179298
Step Index: 21600 | Cost: 2.223441
Step Index: 21700 | Cost: 2.228300
Step Index: 21800 | Cost: 2.173438
Step Index: 21900 | Cost: 2.274012
Step Index: 22000 | Cost: 2.226976
Step Index: 22100 | Cost: 2.170702
Step Index: 22200 | Cost: 2.122133
Step Index: 22300 | Cost: 2.139742
Step Index: 22400 | Cost: 2.289455
Step Index: 22500 | Cost: 2.160020
Step Index: 22600 | Cost: 2.138528
Step Index: 22700 | Cost: 2.203223
Step Index: 22800 | Cost: 2.236772
Step Index: 22900 | Cost: 2.167621
Step Index: 23000 | Cost: 2.185237
Step Index: 23100 | Cost: 2.190103
Step Index: 23200 | Cost: 2.070235
Step Index: 23300 | Cost: 2.151729
Step Index: 23400 | Cost: 2.137215
Step Index: 23500 | Cost: 2.299616
Step Index: 23600 | Cost: 2.242586
Step Index: 23700 | Cost: 2.273573
Step Index: 23800 | Cost: 2.169649
Step Index: 23900 | Cost: 2.238485
Step Index: 24000 | Cost: 2.105472
Step Index: 24100 | Cost: 2.254678
Step Index: 24200 | Cost: 2.115621
Step Index: 24300 | Cost: 2.298425
Step Index: 24400 | Cost: 2.198080
Step Index: 24500 | Cost: 2.184492
Step Index: 24600 | Cost: 2.213173
Step Index: 24700 | Cost: 2.112321
Step Index: 24800 | Cost: 2.109149
Step Index: 24900 | Cost: 2.193827
Step Index: 25000 | Cost: 2.159551
Step Index: 25100 | Cost: 2.117214
Step Index: 25200 | Cost: 2.141007
Step Index: 25300 | Cost: 2.293867
Step Index: 25400 | Cost: 2.204651
Step Index: 25500 | Cost: 2.177105
Step Index: 25600 | Cost: 2.245652
Step Index: 25700 | Cost: 2.082227
Step Index: 25800 | Cost: 2.219100
Step Index: 25900 | Cost: 2.234649
Step Index: 26000 | Cost: 2.155811
Step Index: 26100 | Cost: 2.180153
Step Index: 26200 | Cost: 2.250357
Step Index: 26300 | Cost: 2.280559
Step Index: 26400 | Cost: 2.189516
Step Index: 26500 | Cost: 2.267905
Step Index: 26600 | Cost: 2.137596
Step Index: 26700 | Cost: 2.121261
Step Index: 26800 | Cost: 2.224004
Step Index: 26900 | Cost: 2.161520
Step Index: 27000 | Cost: 2.178628
Step Index: 27100 | Cost: 2.305866
Step Index: 27200 | Cost: 2.211975
Step Index: 27300 | Cost: 2.134571
Step Index: 27400 | Cost: 2.134185
Step Index: 27500 | Cost: 2.170691
Step Index: 27600 | Cost: 2.237804
Step Index: 27700 | Cost: 2.276981
Step Index: 27800 | Cost: 2.113400
Step Index: 27900 | Cost: 2.262462
Step Index: 28000 | Cost: 2.171853
Step Index: 28100 | Cost: 2.169165
Step Index: 28200 | Cost: 2.206209
Step Index: 28300 | Cost: 2.104697
Step Index: 28400 | Cost: 2.220558
Step Index: 28500 | Cost: 2.145372
Step Index: 28600 | Cost: 2.045828
Step Index: 28700 | Cost: 2.087120
Step Index: 28800 | Cost: 2.223569
Step Index: 28900 | Cost: 2.181799
Step Index: 29000 | Cost: 2.256860
Step Index: 29100 | Cost: 2.227960
Step Index: 29200 | Cost: 2.107605
Step Index: 29300 | Cost: 2.225539
Step Index: 29400 | Cost: 2.062055
Step Index: 29500 | Cost: 2.215995
Step Index: 29600 | Cost: 2.163331
Step Index: 29700 | Cost: 2.221217
Step Index: 29800 | Cost: 2.142899
Step Index: 29900 | Cost: 2.277868
Step Index: 30000 | Cost: 2.136274
Step Index: 30100 | Cost: 2.196190
Step Index: 30200 | Cost: 2.221722
Step Index: 30300 | Cost: 2.028693
Step Index: 30400 | Cost: 2.203630
Step Index: 30500 | Cost: 2.093541
Step Index: 30600 | Cost: 2.131719
Step Index: 30700 | Cost: 2.031596
Step Index: 30800 | Cost: 2.200010
Step Index: 30900 | Cost: 2.125058
Step Index: 31000 | Cost: 2.204792
Step Index: 31100 | Cost: 2.146489
Step Index: 31200 | Cost: 2.245053
Step Index: 31300 | Cost: 2.293388
Step Index: 31400 | Cost: 2.325566
Step Index: 31500 | Cost: 2.081606
