
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.07
Step Index: 15800 | Cost: 2.303098
Step Index: 15900 | Cost: 2.300337
Step Index: 16000 | Cost: 2.302254
Step Index: 16100 | Cost: 2.303889
Step Index: 16200 | Cost: 2.300373
Step Index: 16300 | Cost: 2.299958
Step Index: 16400 | Cost: 2.301174
Step Index: 16500 | Cost: 2.302188
Step Index: 16600 | Cost: 2.305093
Step Index: 16700 | Cost: 2.303512
Step Index: 16800 | Cost: 2.300423
Step Index: 16900 | Cost: 2.299777
Step Index: 17000 | Cost: 2.304689
Step Index: 17100 | Cost: 2.303139
Step Index: 17200 | Cost: 2.300744
Step Index: 17300 | Cost: 2.301437
Step Index: 17400 | Cost: 2.301627
Step Index: 17500 | Cost: 2.303475
Step Index: 17600 | Cost: 2.301511
Step Index: 17700 | Cost: 2.302320
Step Index: 17800 | Cost: 2.299763
Step Index: 17900 | Cost: 2.302922
Step Index: 18000 | Cost: 2.301497
Step Index: 18100 | Cost: 2.301621
Step Index: 18200 | Cost: 2.301015
Step Index: 18300 | Cost: 2.305927
Step Index: 18400 | Cost: 2.298544
Step Index: 18500 | Cost: 2.303593
Step Index: 18600 | Cost: 2.301999
Step Index: 18700 | Cost: 2.301701
Step Index: 18800 | Cost: 2.303002
Step Index: 18900 | Cost: 2.304305
Step Index: 19000 | Cost: 2.305589
Step Index: 19100 | Cost: 2.305001
Step Index: 19200 | Cost: 2.300138
Step Index: 19300 | Cost: 2.301855
Step Index: 19400 | Cost: 2.299954
Step Index: 19500 | Cost: 2.300909
Step Index: 19600 | Cost: 2.304330
Step Index: 19700 | Cost: 2.299863
Step Index: 19800 | Cost: 2.299780
Step Index: 19900 | Cost: 2.303685
Step Index: 20000 | Cost: 2.301963
Step Index: 20100 | Cost: 2.303236
Step Index: 20200 | Cost: 2.305794
Step Index: 20300 | Cost: 2.302806
Step Index: 20400 | Cost: 2.301644
Step Index: 20500 | Cost: 2.299678
Step Index: 20600 | Cost: 2.301686
Step Index: 20700 | Cost: 2.300415
Step Index: 20800 | Cost: 2.302294
Step Index: 20900 | Cost: 2.301662
Step Index: 21000 | Cost: 2.304229
Step Index: 21100 | Cost: 2.303850
Step Index: 21200 | Cost: 2.300127
Step Index: 21300 | Cost: 2.302279
Step Index: 21400 | Cost: 2.303438
Step Index: 21500 | Cost: 2.299896
Step Index: 21600 | Cost: 2.300482
Step Index: 21700 | Cost: 2.302053
Step Index: 21800 | Cost: 2.301163
Step Index: 21900 | Cost: 2.301553
Step Index: 22000 | Cost: 2.303779
Step Index: 22100 | Cost: 2.303176
Step Index: 22200 | Cost: 2.303338
Step Index: 22300 | Cost: 2.298648
Step Index: 22400 | Cost: 2.299699
Step Index: 22500 | Cost: 2.299922
Step Index: 22600 | Cost: 2.298206
Step Index: 22700 | Cost: 2.298153
Step Index: 22800 | Cost: 2.302310
Step Index: 22900 | Cost: 2.301943
Step Index: 23000 | Cost: 2.303370
Step Index: 23100 | Cost: 2.302449
Step Index: 23200 | Cost: 2.299182
Step Index: 23300 | Cost: 2.302853
Step Index: 23400 | Cost: 2.300522
Step Index: 23500 | Cost: 2.300763
Step Index: 23600 | Cost: 2.300727
Step Index: 23700 | Cost: 2.301500
Step Index: 23800 | Cost: 2.304282
Step Index: 23900 | Cost: 2.300899
Step Index: 24000 | Cost: 2.304708
Step Index: 24100 | Cost: 2.298917
Step Index: 24200 | Cost: 2.304103
Step Index: 24300 | Cost: 2.300091
Step Index: 24400 | Cost: 2.300975
Step Index: 24500 | Cost: 2.304070
Step Index: 24600 | Cost: 2.299840
Step Index: 24700 | Cost: 2.305757
Step Index: 24800 | Cost: 2.301175
Step Index: 24900 | Cost: 2.297498
Step Index: 25000 | Cost: 2.301097
Step Index: 25100 | Cost: 2.303643
Step Index: 25200 | Cost: 2.298751
Step Index: 25300 | Cost: 2.303673
Step Index: 25400 | Cost: 2.304035
Step Index: 25500 | Cost: 2.300862
Step Index: 25600 | Cost: 2.304254
Step Index: 25700 | Cost: 2.305363
Step Index: 25800 | Cost: 2.302684
Step Index: 25900 | Cost: 2.304110
Step Index: 26000 | Cost: 2.297299
Step Index: 26100 | Cost: 2.299316
Step Index: 26200 | Cost: 2.301208
Step Index: 26300 | Cost: 2.300246
Step Index: 26400 | Cost: 2.302963
Step Index: 26500 | Cost: 2.301096
Step Index: 26600 | Cost: 2.304058
Step Index: 26700 | Cost: 2.301557
Step Index: 26800 | Cost: 2.306777
Step Index: 26900 | Cost: 2.298357
Step Index: 27000 | Cost: 2.302352
Step Index: 27100 | Cost: 2.303618
Step Index: 27200 | Cost: 2.302443
Step Index: 27300 | Cost: 2.301007
Step Index: 27400 | Cost: 2.300442
Step Index: 27500 | Cost: 2.300876
Step Index: 27600 | Cost: 2.301938
Step Index: 27700 | Cost: 2.297298
Step Index: 27800 | Cost: 2.299285
Step Index: 27900 | Cost: 2.299679
Step Index: 28000 | Cost: 2.303146
Step Index: 28100 | Cost: 2.303479
Step Index: 28200 | Cost: 2.302087
Step Index: 28300 | Cost: 2.298437
Step Index: 28400 | Cost: 2.304166
Step Index: 28500 | Cost: 2.306866
Step Index: 28600 | Cost: 2.299565
Step Index: 28700 | Cost: 2.303153
Step Index: 28800 | Cost: 2.300354
Step Index: 28900 | Cost: 2.303422
Step Index: 29000 | Cost: 2.299199
Step Index: 29100 | Cost: 2.301335
Step Index: 29200 | Cost: 2.298339
Step Index: 29300 | Cost: 2.301134
Step Index: 29400 | Cost: 2.301021
Step Index: 29500 | Cost: 2.304485
Step Index: 29600 | Cost: 2.299428
Step Index: 29700 | Cost: 2.303759
Step Index: 29800 | Cost: 2.302293
Step Index: 29900 | Cost: 2.302362
Step Index: 30000 | Cost: 2.302967
Step Index: 30100 | Cost: 2.298656
Step Index: 30200 | Cost: 2.304177
Step Index: 30300 | Cost: 2.303869
Step Index: 30400 | Cost: 2.307606
Step Index: 30500 | Cost: 2.301373
Step Index: 30600 | Cost: 2.304982
Step Index: 30700 | Cost: 2.298838
Step Index: 30800 | Cost: 2.303129
Step Index: 30900 | Cost: 2.303694
Step Index: 31000 | Cost: 2.305272
Step Index: 31100 | Cost: 2.301396
Step Index: 31200 | Cost: 2.299569
Step Index: 31300 | Cost: 2.309845
Step Index: 31400 | Cost: 2.299806
Step Index: 31500 | Cost: 2.308281
Step Index: 31600 | Cost: 2.303919
Step Index: 31700 | Cost: 2.303695
Step Index: 31800 | Cost: 2.298212
Step Index: 31900 | Cost: 2.305027
Step Index: 32000 | Cost: 2.303377
Step Index: 32100 | Cost: 2.298338
Step Index: 32200 | Cost: 2.303860
Step Index: 32300 | Cost: 2.299559
Step Index: 32400 | Cost: 2.301677
Step Index: 32500 | Cost: 2.297118
Step Index: 32600 | Cost: 2.298291
Step Index: 32700 | Cost: 2.297375
Step Index: 32800 | Cost: 2.302402
Step Index: 32900 | Cost: 2.303346
Step Index: 33000 | Cost: 2.306348
Step Index: 33100 | Cost: 2.301223
Step Index: 33200 | Cost: 2.304204
Step Index: 33300 | Cost: 2.304677
Step Index: 33400 | Cost: 2.307196
Step Index: 33500 | Cost: 2.303121
Step Index: 33600 | Cost: 2.302015
Step Index: 33700 | Cost: 2.305636
Step Index: 33800 | Cost: 2.301941
Step Index: 33900 | Cost: 2.301493
Step Index: 34000 | Cost: 2.300902
Step Index: 34100 | Cost: 2.298153
Step Index: 34200 | Cost: 2.305340
Step Index: 34300 | Cost: 2.301007
Step Index: 34400 | Cost: 2.307658
Step Index: 34500 | Cost: 2.300143
Step Index: 34600 | Cost: 2.300731
Step Index: 34700 | Cost: 2.299137
Step Index: 34800 | Cost: 2.310416
Step Index: 34900 | Cost: 2.296237
Step Index: 35000 | Cost: 2.301235
Step Index: 35100 | Cost: 2.303634
Step Index: 35200 | Cost: 2.299894
Step Index: 35300 | Cost: 2.304043
Step Index: 35400 | Cost: 2.305885
Step Index: 35500 | Cost: 2.305230
Step Index: 35600 | Cost: 2.305432
Step Index: 35700 | Cost: 2.302342
Step Index: 35800 | Cost: 2.305590
Step Index: 35900 | Cost: 2.304886
Step Index: 36000 | Cost: 2.300446
Step Index: 36100 | Cost: 2.307652
Step Index: 36200 | Cost: 2.301626
Step Index: 36300 | Cost: 2.307805
Step Index: 36400 | Cost: 2.303961
Step Index: 36500 | Cost: 2.299319
Step Index: 36600 | Cost: 2.308078
Step Index: 36700 | Cost: 2.302786
Step Index: 36800 | Cost: 2.301344
Step Index: 36900 | Cost: 2.303057
Step Index: 37000 | Cost: 2.296124
Step Index: 37100 | Cost: 2.298924
Step Index: 37200 | Cost: 2.302671
Step Index: 37300 | Cost: 2.302137
Step Index: 37400 | Cost: 2.305364
