
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.13
Step Index: 0 | Cost: 2.303166
Step Index: 100 | Cost: 2.304882
Step Index: 200 | Cost: 2.298625
Step Index: 300 | Cost: 2.297708
Step Index: 400 | Cost: 2.297330
Step Index: 500 | Cost: 2.296869
Step Index: 600 | Cost: 2.302687
Step Index: 700 | Cost: 2.299630
Step Index: 800 | Cost: 2.298339
Step Index: 900 | Cost: 2.303899
Step Index: 1000 | Cost: 2.298566
Step Index: 1100 | Cost: 2.291875
Step Index: 1200 | Cost: 2.293567
Step Index: 1300 | Cost: 2.296472
Step Index: 1400 | Cost: 2.293914
Step Index: 1500 | Cost: 2.295409
Step Index: 1600 | Cost: 2.288469
Step Index: 1700 | Cost: 2.287842
Step Index: 1800 | Cost: 2.291248
Step Index: 1900 | Cost: 2.295109
Step Index: 2000 | Cost: 2.290321
Step Index: 2100 | Cost: 2.293950
Step Index: 2200 | Cost: 2.289831
Step Index: 2300 | Cost: 2.293345
Step Index: 2400 | Cost: 2.290696
Step Index: 2500 | Cost: 2.284923
Step Index: 2600 | Cost: 2.290526
Step Index: 2700 | Cost: 2.297449
Step Index: 2800 | Cost: 2.286526
Step Index: 2900 | Cost: 2.286134
Step Index: 3000 | Cost: 2.283717
Step Index: 3100 | Cost: 2.291121
Step Index: 3200 | Cost: 2.286194
Step Index: 3300 | Cost: 2.290253
Step Index: 3400 | Cost: 2.278279
Step Index: 3500 | Cost: 2.284755
Step Index: 3600 | Cost: 2.272342
Step Index: 3700 | Cost: 2.279476
Step Index: 3800 | Cost: 2.281175
Step Index: 3900 | Cost: 2.279923
Step Index: 4000 | Cost: 2.273854
Step Index: 4100 | Cost: 2.274310
Step Index: 4200 | Cost: 2.276948
Step Index: 4300 | Cost: 2.283007
Step Index: 4400 | Cost: 2.277696
Step Index: 4500 | Cost: 2.283646
Step Index: 4600 | Cost: 2.276927
Step Index: 4700 | Cost: 2.279839
Step Index: 4800 | Cost: 2.279834
Step Index: 4900 | Cost: 2.269846
Step Index: 5000 | Cost: 2.269918
Step Index: 5100 | Cost: 2.267513
Step Index: 5200 | Cost: 2.291031
Step Index: 5300 | Cost: 2.261673
Step Index: 5400 | Cost: 2.283811
Step Index: 5500 | Cost: 2.253659
Step Index: 5600 | Cost: 2.265157
Step Index: 5700 | Cost: 2.269427
Step Index: 5800 | Cost: 2.265664
Step Index: 5900 | Cost: 2.278732
Step Index: 6000 | Cost: 2.266195
Step Index: 6100 | Cost: 2.267199
Step Index: 6200 | Cost: 2.264128
Step Index: 6300 | Cost: 2.276722
Step Index: 6400 | Cost: 2.269656
Step Index: 6500 | Cost: 2.270379
Step Index: 6600 | Cost: 2.266278
Step Index: 6700 | Cost: 2.269083
Step Index: 6800 | Cost: 2.259967
Step Index: 6900 | Cost: 2.273974
Step Index: 7000 | Cost: 2.267285
Step Index: 7100 | Cost: 2.250259
Step Index: 7200 | Cost: 2.281043
Step Index: 7300 | Cost: 2.257381
Step Index: 7400 | Cost: 2.278666
Step Index: 7500 | Cost: 2.260370
Step Index: 7600 | Cost: 2.248826
Step Index: 7700 | Cost: 2.265904
Step Index: 7800 | Cost: 2.264167
Step Index: 7900 | Cost: 2.252901
Step Index: 8000 | Cost: 2.245294
Step Index: 8100 | Cost: 2.265765
Step Index: 8200 | Cost: 2.262741
Step Index: 8300 | Cost: 2.267903
Step Index: 8400 | Cost: 2.240755
Step Index: 8500 | Cost: 2.252849
Step Index: 8600 | Cost: 2.248378
Step Index: 8700 | Cost: 2.259486
Step Index: 8800 | Cost: 2.245011
Step Index: 8900 | Cost: 2.245822
Step Index: 9000 | Cost: 2.261141
Step Index: 9100 | Cost: 2.263275
Step Index: 9200 | Cost: 2.267361
Step Index: 9300 | Cost: 2.272840
Step Index: 9400 | Cost: 2.263759
Step Index: 9500 | Cost: 2.257709
Step Index: 9600 | Cost: 2.251150
Step Index: 9700 | Cost: 2.239925
Step Index: 9800 | Cost: 2.234620
Step Index: 9900 | Cost: 2.259637
Step Index: 10000 | Cost: 2.258813
Step Index: 10100 | Cost: 2.255571
Step Index: 10200 | Cost: 2.217133
Step Index: 10300 | Cost: 2.242390
Step Index: 10400 | Cost: 2.230536
Step Index: 10500 | Cost: 2.265410
Step Index: 10600 | Cost: 2.227501
Step Index: 10700 | Cost: 2.223560
Step Index: 10800 | Cost: 2.258030
Step Index: 10900 | Cost: 2.243135
Step Index: 11000 | Cost: 2.242645
Step Index: 11100 | Cost: 2.232994
Step Index: 11200 | Cost: 2.231319
Step Index: 11300 | Cost: 2.228817
Step Index: 11400 | Cost: 2.244689
Step Index: 11500 | Cost: 2.264530
Step Index: 11600 | Cost: 2.211281
Step Index: 11700 | Cost: 2.228045
Step Index: 11800 | Cost: 2.224787
Step Index: 11900 | Cost: 2.246269
Step Index: 12000 | Cost: 2.228207
Step Index: 12100 | Cost: 2.235576
Step Index: 12200 | Cost: 2.253424
Step Index: 12300 | Cost: 2.239388
Step Index: 12400 | Cost: 2.233108
Step Index: 12500 | Cost: 2.232087
Step Index: 12600 | Cost: 2.251546
Step Index: 12700 | Cost: 2.251127
Step Index: 12800 | Cost: 2.231230
Step Index: 12900 | Cost: 2.235883
Step Index: 13000 | Cost: 2.219346
Step Index: 13100 | Cost: 2.228050
Step Index: 13200 | Cost: 2.206350
Step Index: 13300 | Cost: 2.238486
Step Index: 13400 | Cost: 2.241076
Step Index: 13500 | Cost: 2.218481
Step Index: 13600 | Cost: 2.236468
Step Index: 13700 | Cost: 2.235423
Step Index: 13800 | Cost: 2.199738
Step Index: 13900 | Cost: 2.225445
Step Index: 14000 | Cost: 2.220429
Step Index: 14100 | Cost: 2.213577
Step Index: 14200 | Cost: 2.257777
Step Index: 14300 | Cost: 2.208178
Step Index: 14400 | Cost: 2.217009
Step Index: 14500 | Cost: 2.199554
Step Index: 14600 | Cost: 2.206508
Step Index: 14700 | Cost: 2.209824
Step Index: 14800 | Cost: 2.219735
Step Index: 14900 | Cost: 2.274132
Step Index: 15000 | Cost: 2.217667
Step Index: 15100 | Cost: 2.258326
Step Index: 15200 | Cost: 2.229050
Step Index: 15300 | Cost: 2.201253
Step Index: 15400 | Cost: 2.201505
