epoch,discriminator_loss,generator_total_loss,generator_adversarial_loss,feature_matching_loss,d_real_score,d_fake_score
1,0.7291266749991049,4.172328037790733,1.62201327321553,0.2550314758399428,0.7005732599461433,0.2688698957462122
2,0.5803308200718152,4.566555653468217,1.7581262258019779,0.28084294763532014,0.8042942757653718,0.23746541437536184
3,0.543864638498514,5.018199401326699,1.938928767005996,0.30792706319601226,0.8227439044725777,0.20665108655939007
4,0.5111640520615153,5.3105578044853585,2.114515463904579,0.3196042361530927,0.8280390778390487,0.1825365149738765
5,0.44186471299369734,5.94924508463038,2.2905354558831394,0.36587096558939114,0.8481028841273619,0.1604762339946067
6,0.3477494153055814,8.400246497428062,2.686038852918266,0.5714207586675587,0.8877442986658304,0.1258861404096726
7,0.348922337045764,9.076962390748582,2.8452974593285285,0.6231665032924992,0.8888223129923981,0.11857555644346936
8,0.39740697818227333,8.63898785751645,2.8402004572424557,0.5798787377258339,0.8771986135161749,0.12454413836545283
9,0.3983916719951252,8.480048722559863,2.774709947038405,0.5705338754866383,0.8772416303653529,0.12356044042228471
10,0.42817931688658084,8.572278046371913,2.6193472678118415,0.5952930789772827,0.8706158387779009,0.13487321876063205
11,0.39276387579370253,9.578344939958932,2.688759527584114,0.6889585421817137,0.8800279214830682,0.12277717563775506
12,0.39632196090008953,9.83750851319568,2.628168183978241,0.7209340392953099,0.8816543380812844,0.12277784095247193
13,0.422301581885555,8.814192677488421,2.623650810506084,0.6190541864621757,0.8758702437476357,0.12806891199975912
14,0.45404159875199346,8.072338826585524,2.4639464392520414,0.5608392405037833,0.8628934149694915,0.13841962629910742
15,0.4617101724195008,7.787843076309355,2.458013664377798,0.5329829413111847,0.8602546618716551,0.1443151906132698
16,0.4740039927534538,7.8520538830521085,2.3991307692952675,0.545292307244669,0.8547827082105203,0.1450199119672917
17,0.4736801613085341,8.38192107417796,2.3588441952620403,0.6023076884817369,0.8581453880461136,0.14950246002414438
18,0.47009342997381004,8.39215095444481,2.394579476649218,0.5997571473074431,0.856443725009956,0.14407179910357637
19,0.49114454825325765,8.031433879738987,2.3551703160352044,0.5676263526524647,0.8512001049400556,0.15242708164571536
20,0.4887862597951795,8.29756766026563,2.313437263564308,0.5984130410274656,0.8508242882124268,0.15349417017533049
21,0.48309791648741995,8.83480456323907,2.335904631284204,0.649889992310269,0.8517168423917034,0.14857427362758335
22,0.48319998914652534,9.268063276120932,2.272876826843413,0.6995186475243899,0.8506270163130052,0.15221468292840637
23,0.5009895926064784,8.848355293273926,2.271226722415131,0.6577128614529525,0.8446150221446953,0.1570838704557702
24,0.5051079531117241,8.357548222683445,2.275998058885631,0.6081550165568248,0.8426612692304177,0.16047852051140057
25,0.5145482149454627,8.882342281908091,2.278139063627413,0.6604203168708499,0.8407871693667799,0.15891448991133436
26,0.5128340349339022,8.948070219247649,2.2195546792285277,0.6728515489266651,0.8403929306729006,0.1628030123982099
27,0.5075230654513482,9.271254331758707,2.212509355922737,0.705874500888409,0.8423983507817334,0.16237561552241297
28,0.5180582230043883,9.618008368086107,2.2204443334352852,0.7397564035831111,0.8395362242613689,0.16242012219263777
29,0.5308124254835714,9.336648053461962,2.171899646815687,0.7164748399564536,0.8328336064178165,0.16766659258910926
30,0.514125779418662,10.123544338906166,2.208081853271711,0.7915462467930104,0.8388464191172382,0.16291043110708198
31,0.5146730011052424,10.396467350497105,2.222798779459283,0.8173668579299851,0.837772790748294,0.1627787192269127
32,0.5093216842944079,10.764654150103578,2.2178322572519282,0.854682191173629,0.8391338805160901,0.1627318415016231
33,0.5090551774690647,10.806192341417368,2.2333617399234584,0.8572830605034781,0.8392836091542007,0.16283639822856033
34,0.49618679255542186,11.526796019903504,2.2776058699825024,0.9249190103889692,0.8432595836053981,0.15876941700087915
35,0.5076045054610413,11.162680852531206,2.2685635703625064,0.889411725030087,0.840268062482966,0.16131936161234828
36,0.5094769824259352,11.655914363294546,2.2692826844678065,0.9386631598567018,0.8391583998604576,0.16237921496429067
37,0.4995365626741164,12.04175879223512,2.2805458189237235,0.9761212922558926,0.8422712040419625,0.16038333329528864
38,0.5067889407129571,11.904125525219605,2.2711736447740307,0.9632951835594555,0.8393904796921381,0.16224344406682667
39,0.5011796266725748,12.481618135282309,2.274123986168663,1.0207494231733945,0.8403512564035925,0.1609639987201974
40,0.5021216234948376,12.992390443782995,2.2765993576238652,1.071579111094522,0.8408189469044751,0.16179692509150742
41,0.5004098093745732,13.312251119330378,2.297559346302901,1.1014691709291817,0.840907619731261,0.1614269749953015
42,0.5045605166123646,13.603039165534595,2.3073027865721447,1.129573637896245,0.8394031630884303,0.16221215369382708
43,0.5050473499416125,13.987147293468514,2.296276609496315,1.1690870635580308,0.8395317444706908,0.1625236915332256
44,0.5040030718439876,13.858983880222434,2.28218938100456,1.1576794421318735,0.8385237408156442,0.16316269028304828
45,0.5041881159390553,14.419466160311558,2.2816471038478436,1.2137819127281113,0.8389650140658463,0.16337153042602068
46,0.4993160402420724,14.819596762704377,2.3293801971001202,1.2490216558522518,0.8406045183096782,0.16085940577311092
47,0.5038855362056506,14.279905460848667,2.3293577597873045,1.1950547736470063,0.8388940066394239,0.16296488194182368
48,0.5000848790796677,14.90324327261141,2.34827712974926,1.255496616410737,0.8400785356464953,0.16202590223586205
49,0.5010223211628375,15.354430604689192,2.3618598149554564,1.2992570872354035,0.8396025512478139,0.1618858665818035
50,0.5033348580398181,15.554492147842256,2.353121304275966,1.320137087661441,0.8385091500707192,0.16246331298705374
51,0.5002392073078911,16.048132093826144,2.3792099645822353,1.3668922138686228,0.8403574364020092,0.16116640598762152
52,0.49704681174589854,15.983254007773825,2.355419456368626,1.3627834449900258,0.8408793092954276,0.16067231158808906
53,0.49586448338952394,16.34040161170582,2.3605016481758345,1.3979899965890563,0.8413126161783049,0.16056167157274662
54,0.496084330990763,16.317928720228743,2.3725024213885315,1.394542625634977,0.8411449730986416,0.1591762187014712
55,0.4992008188573441,16.345030029221338,2.3696174361918234,1.3975412633159372,0.8398892938500584,0.16006264665929398
56,0.5057226322074928,15.929831108244338,2.34141475375336,1.3588416375736199,0.8382174720858583,0.16348063230219453
57,0.5015840385809983,16.171934505500417,2.3701104008325258,1.3801824007884111,0.8386145251812321,0.16132798857323014
58,0.5007875470241697,16.692967641471636,2.378307016769258,1.4314660660111078,0.8396416123550717,0.16255696007225773
59,0.4983238152938314,16.6163016498679,2.3467780882769294,1.4269523561590969,0.8404302549834298,0.1617666611281952
60,0.4938217540188591,16.940071870784948,2.4107545035900455,1.4529317263329382,0.8409795625375049,0.15942036301487744
61,0.49498869227890924,17.218080633937724,2.4105080673010044,1.4807572541850629,0.8414908334760383,0.15970694222072562
62,0.4959460089702417,17.039509886562236,2.3907238115178475,1.4648786075044387,0.8404046019705216,0.16028579317107058
63,0.4911864355649098,17.54276182155798,2.4070412121196783,1.5135720437115963,0.8423264138769395,0.15996638139580735
64,0.49800599329542405,17.58657970050774,2.4117531445947025,1.5174826607845797,0.8408971924592953,0.16081266983015702
65,0.4966942626650971,17.91780725800165,2.410219599704931,1.5507587749179046,0.8403251796665758,0.16076712738169302
66,0.4950145120077794,17.926833237751875,2.4118066801883207,1.5515026550481814,0.84057084522625,0.16001891654611813
67,0.4893992814687219,18.297784484258973,2.435244040914101,1.5862540431541972,0.8418337065394562,0.1577706280911323
68,0.4862401293645991,18.907190870530535,2.4635937638802106,1.6443597184549463,0.8426216787630969,0.15646332155654927
69,0.4873705031258045,19.295527448748597,2.495405390711114,1.6800122036792264,0.8435065250585575,0.15748415717689118
70,0.4933087448082348,18.712741965114482,2.443140216393046,1.6269601878553335,0.8419225091981416,0.16019923077656492
71,0.4903037332662261,19.062926320746392,2.4323397650577054,1.663058648015013,0.8421085612608654,0.15916766366451093
72,0.4864041846577484,19.861831249576984,2.4734841254678104,1.7388347104044244,0.8424502693780578,0.15712249721630966
73,0.48782782772980116,20.457844337614457,2.5106391340199083,1.7947205210676287,0.8427960477252998,0.15779563150193432
74,0.4853258838157843,20.179056431987497,2.4828546094422292,1.7696201801300049,0.8434250555416145,0.1569651969441093
75,0.4862991536017692,20.160086735640423,2.4922463350956985,1.7667840447756324,0.8436523156590982,0.15798685389875186
76,0.48863945916147516,20.42871597969886,2.4959847218919506,1.793273130265793,0.8430071632460793,0.1579580697977897
77,0.4814096462018419,21.23188517353322,2.549965542141754,1.8681919621949148,0.8439831066839766,0.15508746938540205
78,0.48716179392125347,21.226815686367527,2.51293151921565,1.8713884141185495,0.8434171275337143,0.1572381865860212
79,0.480710901541285,21.379437248305518,2.5617993869403803,1.881763782831702,0.8446765577439035,0.1551980035434855
80,0.48458036219719614,21.69957425334666,2.531870190459903,1.9167704051083858,0.8447875811321901,0.1569968161754089
81,0.47845879846280165,22.07346247682477,2.578598900596694,1.9494863724944616,0.8449559943510754,0.1551173068214171
82,0.4809392239197646,22.28278360272398,2.5462639544269825,1.9736519756883677,0.844513718444522,0.15567500667996925
83,0.48614232463411766,21.165350168058186,2.5325619289190464,1.8632788209631892,0.8420947176395076,0.15712341680975245
84,0.47786738671878776,21.613738824825475,2.5761850446757704,1.9037553732938106,0.8438873751328724,0.15420632669241122
85,0.47684840459634764,22.233242828066988,2.6040679275399388,1.9629175096455187,0.8453474587733203,0.15549556099542297
86,0.4806890095224475,22.618449598255722,2.6151145189115317,2.0003335086425933,0.8446460968196983,0.15625036839801487
87,0.47483226804450007,23.482420062074567,2.64811375353596,2.0834306419485866,0.846829084476622,0.15333331818922913
88,0.4810678861518898,23.20824377607591,2.6427876028684105,2.056545629359708,0.8443520547139762,0.1543291998971807
89,0.4704656167195575,23.33212435127485,2.6612096682633504,2.067091460275178,0.8471072676158188,0.15372067055489758
90,0.4723101455976467,23.255560657765606,2.6286728334898997,2.0626887838439187,0.8470488904726388,0.15406671771318606
91,0.47288628438911817,23.27316461695303,2.6514983861753256,2.0621666070258264,0.8472107259353788,0.1544176039866882
92,0.47307607944649044,23.805951618912196,2.6753381927414694,2.1130613253848387,0.8470869447925303,0.15302933486971523
93,0.4673127883141584,23.315375658545165,2.680156738451212,2.0635218974387293,0.8475079719382937,0.15125974946387924
94,0.47198638762577927,24.07731022221027,2.702772518195728,2.13745376497212,0.8474930707770999,0.15336253184198154
95,0.4680060121682611,23.5665603864311,2.74423892427199,2.0822321554221728,0.8478991212231097,0.15017528101654337
96,0.4734358460006147,23.228634333846593,2.7015237088250643,2.0527110654528777,0.8470881303938309,0.15380442518704007
97,0.4706008030046331,23.934769904259408,2.7019793609581373,2.123279059287345,0.8469822690038398,0.15196464955806732
98,0.4629524010832947,24.481284264290686,2.7478405603087777,2.173344372522713,0.8488073295885974,0.14988189426684143
99,0.469479501837551,25.100507282974696,2.7562167432048534,2.234429056101506,0.8488200525246045,0.15325052726386798
100,0.4685344436381123,24.74535341546087,2.7468727933298243,2.1998480759044683,0.8485527770354016,0.15275133320010534
101,0.4655261588568735,24.76269533138464,2.7345394238387004,2.202815596419986,0.8483762446016369,0.15086367386992616
102,0.47004087313567056,24.83495840695825,2.7731134041701213,2.206184500514871,0.8477018670280381,0.1524000025474199
103,0.46461188203037374,26.311818887691686,2.8196412915050395,2.349217751238606,0.8482381176240373,0.151082143851436
104,0.47513164683143694,26.4730488050102,2.771496539068694,2.370155229426847,0.8464393780963255,0.1544636153053529
105,0.4675609056312259,26.657009294717618,2.780297626363169,2.387671179110461,0.8481929278609777,0.1521607062751704
