fold,auc,train_real_rows,train_synthetic_rows,test_real_rows,test_synthetic_rows
1,0.9999996934406485,19536,19536,6512,6512
2,0.9999997170221371,19536,19536,6512,6512
3,0.9999991982293887,19536,19536,6512,6512
4,0.9999995519517171,19536,19536,6512,6512
