fold,auc,train_real_rows,train_synthetic_rows,test_real_rows,test_synthetic_rows
1,0.9999986558551516,19536,19536,6512,6512
2,0.9999982313883573,19536,19536,6512,6512
3,0.9999997406036257,19536,19536,6512,6512
4,0.9999995991146943,19536,19536,6512,6512
