seed,device,train_rows,gan_data_dim,numeric_dim,latent_dim,batch_size,epochs,learning_rate,final_discriminator_loss,final_generator_loss,final_d_real_score,final_d_fake_score,synthetic_rows,synthetic_dim
42,cpu,26048,115,6,64,256,300,0.0002,0.42469112294735295,2.9157413940618535,0.8693150624190227,0.1357585563886874,26048,115
123,cpu,26048,115,6,64,256,300,0.0002,0.3789497911930084,3.077277979048172,0.8846013197804442,0.11868662221154364,26048,115
2026,cpu,26048,115,6,64,256,300,0.0002,0.4016292735491649,3.0070229095987755,0.8760726026969381,0.12636980709463064,26048,115
