
 ================ Running training with num_iterations = 100 ================
Current Epochs: 0.03
Step Index: 15800 | Cost: 2.302985
Step Index: 15900 | Cost: 2.300752
Step Index: 16000 | Cost: 2.301107
Step Index: 16100 | Cost: 2.299656
Step Index: 16200 | Cost: 2.301547
Step Index: 16300 | Cost: 2.302139
Step Index: 16400 | Cost: 2.300933
Step Index: 16500 | Cost: 2.303893
Step Index: 16600 | Cost: 2.297773
Step Index: 16700 | Cost: 2.298491
Step Index: 16800 | Cost: 2.301192
Step Index: 16900 | Cost: 2.300713
Step Index: 17000 | Cost: 2.301939
Step Index: 17100 | Cost: 2.303909
Step Index: 17200 | Cost: 2.301795
Step Index: 17300 | Cost: 2.297639
Step Index: 17400 | Cost: 2.301841
Step Index: 17500 | Cost: 2.303095
Step Index: 17600 | Cost: 2.294483
Step Index: 17700 | Cost: 2.306257
Step Index: 17800 | Cost: 2.301678
Step Index: 17900 | Cost: 2.300441
Step Index: 18000 | Cost: 2.301015
Step Index: 18100 | Cost: 2.303686
Step Index: 18200 | Cost: 2.301782
Step Index: 18300 | Cost: 2.299434
Step Index: 18400 | Cost: 2.303720
Step Index: 18500 | Cost: 2.301954
Step Index: 18600 | Cost: 2.296781
Step Index: 18700 | Cost: 2.298945
Step Index: 18800 | Cost: 2.297212
Step Index: 18900 | Cost: 2.302073
Step Index: 19000 | Cost: 2.300224
Step Index: 19100 | Cost: 2.301171
Step Index: 19200 | Cost: 2.297865
Step Index: 19300 | Cost: 2.302287
Step Index: 19400 | Cost: 2.304352
Step Index: 19500 | Cost: 2.300226
Step Index: 19600 | Cost: 2.299466
Step Index: 19700 | Cost: 2.299533
Step Index: 19800 | Cost: 2.302521
Step Index: 19900 | Cost: 2.296239
Step Index: 20000 | Cost: 2.301776
Step Index: 20100 | Cost: 2.303211
Step Index: 20200 | Cost: 2.307599
Step Index: 20300 | Cost: 2.304709
Step Index: 20400 | Cost: 2.303117
Step Index: 20500 | Cost: 2.304208
Step Index: 20600 | Cost: 2.300652
Step Index: 20700 | Cost: 2.305068
Step Index: 20800 | Cost: 2.299024
Step Index: 20900 | Cost: 2.304804
Step Index: 21000 | Cost: 2.304989
Step Index: 21100 | Cost: 2.305429
Step Index: 21200 | Cost: 2.295795
Step Index: 21300 | Cost: 2.304736
Step Index: 21400 | Cost: 2.299845
Step Index: 21500 | Cost: 2.298296
Step Index: 21600 | Cost: 2.299836
Step Index: 21700 | Cost: 2.304342
Step Index: 21800 | Cost: 2.300771
Step Index: 21900 | Cost: 2.302553
Step Index: 22000 | Cost: 2.297111
Step Index: 22100 | Cost: 2.304869
Step Index: 22200 | Cost: 2.300907
Step Index: 22300 | Cost: 2.299308
Step Index: 22400 | Cost: 2.298856
Step Index: 22500 | Cost: 2.297880
Step Index: 22600 | Cost: 2.302145
Step Index: 22700 | Cost: 2.304929
Step Index: 22800 | Cost: 2.300241
Step Index: 22900 | Cost: 2.301450
Step Index: 23000 | Cost: 2.305550
Step Index: 23100 | Cost: 2.302101
Step Index: 23200 | Cost: 2.292742
Step Index: 23300 | Cost: 2.304533
Step Index: 23400 | Cost: 2.302753
Step Index: 23500 | Cost: 2.305276
Step Index: 23600 | Cost: 2.301363
Step Index: 23700 | Cost: 2.301771
Step Index: 23800 | Cost: 2.301703
Step Index: 23900 | Cost: 2.300347
Step Index: 24000 | Cost: 2.298455
Step Index: 24100 | Cost: 2.303016
Step Index: 24200 | Cost: 2.300395
Step Index: 24300 | Cost: 2.298829
Step Index: 24400 | Cost: 2.306199
Step Index: 24500 | Cost: 2.298999
Step Index: 24600 | Cost: 2.304560
Step Index: 24700 | Cost: 2.303522
Step Index: 24800 | Cost: 2.300002
Step Index: 24900 | Cost: 2.308050
Step Index: 25000 | Cost: 2.298488
Step Index: 25100 | Cost: 2.295841
Step Index: 25200 | Cost: 2.306186
Step Index: 25300 | Cost: 2.306475
Step Index: 25400 | Cost: 2.300601
Step Index: 25500 | Cost: 2.306432
Step Index: 25600 | Cost: 2.308501
Step Index: 25700 | Cost: 2.300701
Step Index: 25800 | Cost: 2.301351
Step Index: 25900 | Cost: 2.303701
Step Index: 26000 | Cost: 2.299502
Step Index: 26100 | Cost: 2.300661
Step Index: 26200 | Cost: 2.308789
Step Index: 26300 | Cost: 2.306840
Step Index: 26400 | Cost: 2.301274
Step Index: 26500 | Cost: 2.305447
Step Index: 26600 | Cost: 2.303424
Step Index: 26700 | Cost: 2.305326
Step Index: 26800 | Cost: 2.302473
Step Index: 26900 | Cost: 2.299111
Step Index: 27000 | Cost: 2.299699
Step Index: 27100 | Cost: 2.307414
Step Index: 27200 | Cost: 2.308390
Step Index: 27300 | Cost: 2.297719
Step Index: 27400 | Cost: 2.298933
Step Index: 27500 | Cost: 2.300056
Step Index: 27600 | Cost: 2.311209
Step Index: 27700 | Cost: 2.307334
Step Index: 27800 | Cost: 2.303935
Step Index: 27900 | Cost: 2.301406
Step Index: 28000 | Cost: 2.302062
Step Index: 28100 | Cost: 2.300449
Step Index: 28200 | Cost: 2.309191
Step Index: 28300 | Cost: 2.301166
Step Index: 28400 | Cost: 2.299655
Step Index: 28500 | Cost: 2.304291
Step Index: 28600 | Cost: 2.305250
Step Index: 28700 | Cost: 2.305289
Step Index: 28800 | Cost: 2.307553
Step Index: 28900 | Cost: 2.305055
Step Index: 29000 | Cost: 2.306047
Step Index: 29100 | Cost: 2.305049
Step Index: 29200 | Cost: 2.297976
Step Index: 29300 | Cost: 2.296443
Step Index: 29400 | Cost: 2.299873
Step Index: 29500 | Cost: 2.304778
Step Index: 29600 | Cost: 2.303553
Step Index: 29700 | Cost: 2.307020
Step Index: 29800 | Cost: 2.305446
Step Index: 29900 | Cost: 2.301098
Step Index: 30000 | Cost: 2.298965
Step Index: 30100 | Cost: 2.301672
Step Index: 30200 | Cost: 2.304409
Step Index: 30300 | Cost: 2.304107
Step Index: 30400 | Cost: 2.303398
Step Index: 30500 | Cost: 2.297775
Step Index: 30600 | Cost: 2.294489
Step Index: 30700 | Cost: 2.301066
Step Index: 30800 | Cost: 2.296849
Step Index: 30900 | Cost: 2.302553
Step Index: 31000 | Cost: 2.306960
Step Index: 31100 | Cost: 2.301533
Step Index: 31200 | Cost: 2.299184
Step Index: 31300 | Cost: 2.305492
Step Index: 31400 | Cost: 2.302308
Step Index: 31500 | Cost: 2.296816
Step Index: 31600 | Cost: 2.302261
Step Index: 31700 | Cost: 2.304822
Step Index: 31800 | Cost: 2.300648
Step Index: 31900 | Cost: 2.296076
Step Index: 32000 | Cost: 2.301587
Step Index: 32100 | Cost: 2.302683
Step Index: 32200 | Cost: 2.301162
Step Index: 32300 | Cost: 2.308595
Step Index: 32400 | Cost: 2.294857
Step Index: 32500 | Cost: 2.301813
Step Index: 32600 | Cost: 2.293281
Step Index: 32700 | Cost: 2.302425
Step Index: 32800 | Cost: 2.303628
Step Index: 32900 | Cost: 2.296714
Step Index: 33000 | Cost: 2.299275
Step Index: 33100 | Cost: 2.304582
Step Index: 33200 | Cost: 2.309550
Step Index: 33300 | Cost: 2.305333
Step Index: 33400 | Cost: 2.306498
Step Index: 33500 | Cost: 2.302176
Step Index: 33600 | Cost: 2.296494
Step Index: 33700 | Cost: 2.300571
Step Index: 33800 | Cost: 2.299120
Step Index: 33900 | Cost: 2.295508
Step Index: 34000 | Cost: 2.304284
Step Index: 34100 | Cost: 2.308929
Step Index: 34200 | Cost: 2.308899
Step Index: 34300 | Cost: 2.298519
Step Index: 34400 | Cost: 2.301812
Step Index: 34500 | Cost: 2.296197
Step Index: 34600 | Cost: 2.304318
Step Index: 34700 | Cost: 2.296688
Step Index: 34800 | Cost: 2.306204
Step Index: 34900 | Cost: 2.295592
Step Index: 35000 | Cost: 2.305434
Step Index: 35100 | Cost: 2.303314
Step Index: 35200 | Cost: 2.303306
Step Index: 35300 | Cost: 2.298009
Step Index: 35400 | Cost: 2.301460
Step Index: 35500 | Cost: 2.302970
Step Index: 35600 | Cost: 2.296398
Step Index: 35700 | Cost: 2.298165
Step Index: 35800 | Cost: 2.302743
Step Index: 35900 | Cost: 2.303653
Step Index: 36000 | Cost: 2.296742
Step Index: 36100 | Cost: 2.304499
Step Index: 36200 | Cost: 2.302448
Step Index: 36300 | Cost: 2.299261
Step Index: 36400 | Cost: 2.300826
Step Index: 36500 | Cost: 2.298262
Step Index: 36600 | Cost: 2.309771
Step Index: 36700 | Cost: 2.308210
Step Index: 36800 | Cost: 2.295481
Step Index: 36900 | Cost: 2.294624
Step Index: 37000 | Cost: 2.304975
Step Index: 37100 | Cost: 2.304044
Step Index: 37200 | Cost: 2.305763
Step Index: 37300 | Cost: 2.297211
Step Index: 37400 | Cost: 2.302357
Step Index: 37500 | Cost: 2.299562
Step Index: 37600 | Cost: 2.298072
Step Index: 37700 | Cost: 2.309198
Step Index: 37800 | Cost: 2.299070
Step Index: 37900 | Cost: 2.312901
Step Index: 38000 | Cost: 2.309503
Step Index: 38100 | Cost: 2.306761
Step Index: 38200 | Cost: 2.308570
Step Index: 38300 | Cost: 2.305423
Step Index: 38400 | Cost: 2.301111
Step Index: 38500 | Cost: 2.295296
Step Index: 38600 | Cost: 2.301770
Step Index: 38700 | Cost: 2.301141
Step Index: 38800 | Cost: 2.296185
Step Index: 38900 | Cost: 2.299661
Step Index: 39000 | Cost: 2.291984
Step Index: 39100 | Cost: 2.307539
Step Index: 39200 | Cost: 2.305910
Step Index: 39300 | Cost: 2.305854
Step Index: 39400 | Cost: 2.307309
