epoch,discriminator_loss,generator_loss,generator_adversarial_loss,batch_diversity_score,d_real_score,d_fake_score
1,0.09341546512176606,7.427159162441103,7.4787010131496015,0.1030837201541013,0.9550818473395735,0.029090531275545405
2,0.000416030363285785,12.550241583644754,12.603002878698971,0.10552254533118541,0.9997735867405882,0.00018363311914306382
3,0.0004929339978267614,16.55751390740423,16.609436620580087,0.10384533229735818,0.999733826901653,0.00016944351261939813
4,0.001148723251570136,17.93774704885955,17.984789989962437,0.09408593627780971,0.9995853906810874,0.0004894159466479467
5,0.0033621187754076824,17.549144499372726,17.590696788070225,0.08310458816514157,0.9990422017503493,0.0012904927258421252
6,0.005013459215129698,14.643853782427193,14.682247747289072,0.07678794115781784,0.9987510726003364,0.0024708492772441614
7,0.004378722907426666,13.275712230417987,13.311191200029732,0.07095789798710606,0.9988183786373327,0.002305601335921334
8,0.004141193422106196,12.145846810671362,12.178544035052308,0.06539437591586963,0.9989152237920478,0.0019182702085570348
9,0.003553849244709265,10.630537278581373,10.662641119248796,0.06420761387389486,0.9990997621328523,0.0012555006774209237
10,0.003266066155168182,10.24118733170009,10.273150207972762,0.06392566081468422,0.9993127820515396,0.0013610116310710419
11,0.0029094286970701992,10.330292824471352,10.36331020015301,0.06603475468288554,0.9991490138639317,0.0011127395964559573
12,0.0026992240189897395,10.375052064952284,10.408791712014983,0.06747929545322268,0.9992944344435588,0.0012108591760653948
13,0.0028685915433988435,11.259882398171,11.294529546605478,0.06929436886664664,0.9990413383682175,0.0010081277274132457
14,0.004360193962411088,11.236036838871417,11.271297162122066,0.07052071414666601,0.9990900642801039,0.0009936111998493037
15,0.003203160219536495,11.439500610427102,11.474544355184724,0.07008754248076146,0.9990574499168018,0.0009288890888807271
16,0.003956213544496326,11.901695081503084,11.935929411708718,0.06846864233807762,0.9989221326195368,0.0011123377529530796
17,0.003952587369597738,11.656695535867522,11.690022345816734,0.0666535661214649,0.9989630562244075,0.0011346516404577558
18,0.005201704404633815,11.34023361394901,11.37253456304569,0.06460194747046669,0.9988502871872175,0.0015167680589596299
19,0.004499960050596579,11.051743970058933,11.083496962443437,0.0635059946908219,0.998923397890412,0.0016342274298445359
20,0.005435421508460278,11.246521996979666,11.27797006852556,0.06289621770824536,0.9987005018951869,0.0016199228160589296
21,0.008982037153731257,11.157668727459294,11.189465418900594,0.06359335820716207,0.998069940227093,0.0024278156204600955
22,0.008312429256200108,11.122698462835633,11.154505380309454,0.06361381255901687,0.9979034361272755,0.002387243891273173
23,0.009137683207431973,10.747482535862687,10.778784884084569,0.06260465535492,0.9977209267049733,0.003017143627178007
24,0.011427089604802688,10.581660270690918,10.61285945212487,0.0623983031894901,0.996769395795199,0.0035477201278565802
25,0.015084564446075128,10.253917495803078,10.2845567287785,0.06127839730960308,0.9954386300379687,0.0039859139556434045
26,0.0230599052853661,9.629956405941803,9.659927500356542,0.05994214762998099,0.9937547522016091,0.007272283846885888
27,0.027071640854424768,9.114540052886056,9.142842849882522,0.05660552653198195,0.9923404461086387,0.008186054827488664
28,0.029411529474384565,8.978816183486787,9.00520926182813,0.05278617914507885,0.991713549240981,0.00948089735102978
29,0.03480737505591299,8.42180583500626,8.446837750991973,0.05006383691388782,0.9902274071580113,0.010751120398042373
30,0.04130394415155348,7.8426778104045605,7.866866012611012,0.04837648647994098,0.9886236314726348,0.011749446493490497
31,0.04374775454623274,7.554213745759265,7.577604307986722,0.04678113673730652,0.9880753602131759,0.01195804293078398
32,0.04642133937576915,7.298448029130992,7.321289421308158,0.045682778379114546,0.9883792435768808,0.01366432849317789
33,0.04811590333874937,6.938388021865694,6.961195752172187,0.045615534934372,0.9876320267667865,0.013509427313692868
34,0.04981936733376714,6.84266994023087,6.8653231705769455,0.045306479724326935,0.9873677610170724,0.014260013719172319
35,0.05199638384251422,6.554621087442531,6.577362655413033,0.04548312229390192,0.9871319733043709,0.014902008529107022
36,0.05353108597319979,6.446390439968298,6.469239357674476,0.045697831982138136,0.9866867478531186,0.015396021362993461
37,0.05398164104928475,6.324936574048335,6.347946667435146,0.046020232325438226,0.9861783196430395,0.014425187415471025
38,0.056966408676845895,6.128597146213645,6.152220527724464,0.047246805327658604,0.9859208216761598,0.015154386716111018
39,0.06049549801846837,5.8915672443880895,5.915059519286203,0.04698453666550098,0.9855321043788796,0.01627268866488323
40,0.05985975697046459,5.870387738293941,5.892919096616235,0.045062727267199225,0.9853287634283009,0.016635275713287958
41,0.05770783560664052,5.868772039319029,5.891245686181701,0.04494727801273365,0.9860320793520106,0.016074964384742006
42,0.061134758257851154,5.791252145672789,5.813854075894497,0.04520382717399314,0.9855077160467015,0.016064679185574006
43,0.05666336267126153,5.877665434733475,5.900189579123317,0.04504825163743283,0.98608928977853,0.015234608936243423
44,0.058747151128873965,5.772620710996118,5.7947399498212455,0.04423846883496436,0.9860045396455444,0.01604862782255848
45,0.05884923069452,5.725741952952772,5.747610323499925,0.04373674024597253,0.9862233305921649,0.015143766180879556
